Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
BQYCK1	0.0398	0.0184	1906.6	0.993	0.795	216.2	405.2	22000	1903	0.399	0.00715	6	8.66	2.61
BQYCK2	0.0324	0.0209	1996.4	0.994	0.807	264.2	459	22000	1993	0.407	0.00551	6.13	8.84	2.66
BQYCK3	0.0434	0.0185	1851.3	0.993	0.799	229.6	406.3	22000	1847	0.423	0.00654	6.01	8.67	2.61
BQYCK4	0.0329	0.0185	1810.4	0.994	0.801	238.3	406	22000	1805	0.424	0.006	6.01	8.67	2.61
BQYCK5	0.0505	0.0159	1752.7	0.992	0.785	190.8	350.8	22000	1749	0.414	0.008	5.86	8.45	2.55
BQYCK6	0.0404	0.0184	1898.5	0.994	0.796	227.4	405.1	22000	1894	0.415	0.00649	6	8.66	2.61
BQYCK7	0.0455	0.0157	1798.1	0.992	0.78	183.7	344.8	22000	1794	0.427	0.00831	5.84	8.43	2.54
BQYCK8	0.0212	0.0248	2092.2	0.996	0.824	331.9	545.9	22000	2089	0.392	0.00423	6.3	9.09	2.74
BQYCK9	0.039	0.0198	1902.8	0.994	0.805	250.1	436.5	22000	1899	0.413	0.00593	6.08	8.77	2.64
BQYNPK1	0.0605	0.0119	1636.2	0.987	0.753	126.9	262	22000	1632	0.419	0.0128	5.57	8.03	2.42
BQYNPK2	0.0786	0.00921	1464.7	0.983	0.729	96.4	202.7	22000	1460	0.446	0.0168	5.31	7.66	2.31
BQYNPK3	0.048	0.0113	1535	0.989	0.752	132.1	248.5	22000	1531	0.424	0.0113	5.52	7.96	2.4
BQYNPK4	0.138	0.00589	1269.1	0.969	0.681	54.9	129.5	22000	1264	0.462	0.0312	4.86	7.02	2.11
BQYNPK5	0.0573	0.00849	1375.1	0.985	0.724	97.3	186.8	22000	1370	0.45	0.0153	5.23	7.55	2.27
BQYNPK6	0.065	0.00928	1336.1	0.986	0.739	107.2	204.3	22000	1332	0.415	0.0142	5.32	7.67	2.31
BQYNPK7	0.0815	0.00814	1322.8	0.982	0.722	88.1	179	22000	1318	0.44	0.018	5.19	7.48	2.25
BQYNPK8	0.0538	0.0107	1608.1	0.987	0.739	117.3	234.5	22000	1604	0.44	0.0131	5.46	7.87	2.37
BQYNPK9	0.0504	0.0118	1720.5	0.989	0.746	132	258.7	22000	1716	0.455	0.0115	5.56	8.02	2.41
BQYNPKM1	0.0215	0.0265	2152.6	0.996	0.83	354.1	583.1	22000	2150	0.376	0.004	6.37	9.19	2.77
BQYNPKM2	0.0214	0.0269	2184.3	0.996	0.83	359.2	592	22000	2180	0.408	0.00396	6.38	9.21	2.77
BQYNPKM3	0.0165	0.031	2343.3	0.997	0.841	417	681	22000	2340	0.392	0.0034	6.52	9.41	2.83
BQYNPKM4	0.0183	0.0279	2223.9	0.996	0.833	372.9	614.8	22000	2221	0.387	0.00382	6.42	9.26	2.79
