	site1	site2	comm_sim	site_dis	compartment
1	RCCLCK1	RQYCK1	0.303136363636364	2254915.66494674	RS
2	RCCLCK1	RQYCK2	0.322363636363636	2254915.66494674	RS
3	RCCLCK1	RQYCK3	0.359272727272727	2254915.66494674	RS
4	RCCLCK1	RQYCK4	0.304454545454545	2254915.66494674	RS
5	RCCLCK1	RQYCK5	0.344136363636364	2254915.66494674	RS
6	RCCLCK1	RQYCK6	0.351727272727273	2254915.66494674	RS
7	RCCLCK1	RQYCK7	0.319909090909091	2254915.66494674	RS
8	RCCLCK1	RQYCK8	0.4	2254915.66494674	RS
9	RCCLCK1	RQYCK9	0.353318181818182	2254915.66494674	RS
10	RCCLCK1	RQYNPK1	0.247045454545455	2254915.66494674	RS
11	RCCLCK1	RQYNPK2	0.222272727272727	2254915.66494674	RS
12	RCCLCK1	RQYNPK3	0.225272727272727	2254915.66494674	RS
13	RCCLCK1	RQYNPK4	0.196363636363636	2254915.66494674	RS
14	RCCLCK1	RQYNPK5	0.190136363636364	2254915.66494674	RS
15	RCCLCK1	RQYNPK6	0.198409090909091	2254915.66494674	RS
16	RCCLCK1	RQYNPK7	0.178409090909091	2254915.66494674	RS
17	RCCLCK1	RQYNPK8	0.171409090909091	2254915.66494674	RS
18	RCCLCK1	RQYNPK9	0.184909090909091	2254915.66494674	RS
19	RCCLCK1	RQYNPKM1	0.392636363636364	2254915.66494674	RS
20	RCCLCK1	RQYNPKM2	0.387590909090909	2254915.66494674	RS
21	RCCLCK1	RQYNPKM3	0.405818181818182	2254915.66494674	RS
22	RCCLCK1	RQYNPKM4	0.412181818181818	2254915.66494674	RS
23	RCCLCK1	RQYNPKM5	0.383090909090909	2254915.66494674	RS
24	RCCLCK1	RQYNPKM6	0.4115	2254915.66494674	RS
25	RCCLCK1	RQYNPKM7	0.393590909090909	2254915.66494674	RS
26	RCCLCK1	RQYNPKM8	0.396272727272727	2254915.66494674	RS
27	RCCLCK1	RQYNPKM9	0.430227272727273	2254915.66494674	RS
28	RCCLCK1	RYCCK1	0.400454545454546	1078859.66222909	RS
29	RCCLCK1	RYCCK2	0.465409090909091	1078859.66222909	RS
30	RCCLCK1	RYCCK3	0.464227272727273	1078859.66222909	RS
31	RCCLCK1	RYCCK4	0.373454545454545	1078859.66222909	RS
32	RCCLCK1	RYCCK5	0.346181818181818	1078859.66222909	RS
33	RCCLCK1	RYCCK6	0.364590909090909	1078859.66222909	RS
34	RCCLCK1	RYCCK7	0.3655	1078859.66222909	RS
35	RCCLCK1	RYCCK8	0.407318181818182	1078859.66222909	RS
36	RCCLCK1	RYCCK9	0.394136363636364	1078859.66222909	RS
37	RCCLCK1	RYCNPK1	0.333681818181818	1078859.66222909	RS
38	RCCLCK1	RYCNPK2	0.325863636363636	1078859.66222909	RS
39	RCCLCK1	RYCNPK3	0.327954545454545	1078859.66222909	RS
40	RCCLCK1	RYCNPK4	0.307136363636364	1078859.66222909	RS
41	RCCLCK1	RYCNPK5	0.344181818181818	1078859.66222909	RS
42	RCCLCK1	RYCNPK6	0.374818181818182	1078859.66222909	RS
43	RCCLCK1	RYCNPK7	0.414272727272727	1078859.66222909	RS
44	RCCLCK1	RYCNPK8	0.349772727272727	1078859.66222909	RS
45	RCCLCK1	RYCNPK9	0.376909090909091	1078859.66222909	RS
46	RCCLCK1	RYCNPKM1	0.3535	1078859.66222909	RS
47	RCCLCK1	RYCNPKM2	0.342409090909091	1078859.66222909	RS
48	RCCLCK1	RYCNPKM3	0.309090909090909	1078859.66222909	RS
49	RCCLCK1	RYCNPKM4	0.345727272727273	1078859.66222909	RS
50	RCCLCK1	RYCNPKM5	0.354272727272727	1078859.66222909	RS
51	RCCLCK1	RYCNPKM6	0.351090909090909	1078859.66222909	RS
52	RCCLCK1	RYCNPKM7	0.343181818181818	1078859.66222909	RS
53	RCCLCK1	RYCNPKM8	0.336772727272727	1078859.66222909	RS
54	RCCLCK1	RYCNPKM9	0.381090909090909	1078859.66222909	RS
55	RCCLCK1	RYYCK2	0.283272727272727	1402842.13363643	RS
56	RCCLCK1	RYYCK3	0.338727272727273	1402842.13363643	RS
57	RCCLCK1	RYYCK4	0.313772727272727	1402842.13363643	RS
58	RCCLCK1	RYYCK5	0.256272727272727	1402842.13363643	RS
59	RCCLCK1	RYYCK6	0.256454545454545	1402842.13363643	RS
60	RCCLCK1	RYYCK7	0.271181818181818	1402842.13363643	RS
61	RCCLCK1	RYYCK8	0.288181818181818	1402842.13363643	RS
62	RCCLCK1	RYYCK9	0.243545454545455	1402842.13363643	RS
63	RCCLCK1	RYYNPK1	0.310590909090909	1402842.13363643	RS
64	RCCLCK1	RYYNPK2	0.246363636363636	1402842.13363643	RS
65	RCCLCK1	RYYNPK3	0.264954545454545	1402842.13363643	RS
66	RCCLCK1	RYYNPK4	0.277681818181818	1402842.13363643	RS
67	RCCLCK1	RYYNPK5	0.254272727272727	1402842.13363643	RS
68	RCCLCK1	RYYNPK6	0.263090909090909	1402842.13363643	RS
69	RCCLCK1	RYYNPK7	0.289954545454545	1402842.13363643	RS
70	RCCLCK1	RYYNPK8	0.263318181818182	1402842.13363643	RS
71	RCCLCK1	RYYNPK9	0.261863636363636	1402842.13363643	RS
72	RCCLCK1	RYYNPKM1	0.298636363636364	1402842.13363643	RS
73	RCCLCK1	RYYNPKM2	0.310590909090909	1402842.13363643	RS
74	RCCLCK1	RYYNPKM3	0.348954545454545	1402842.13363643	RS
75	RCCLCK1	RYYNPKM4	0.361818181818182	1402842.13363643	RS
76	RCCLCK1	RYYNPKM5	0.333363636363636	1402842.13363643	RS
77	RCCLCK1	RYYNPKM6	0.330545454545455	1402842.13363643	RS
78	RCCLCK1	RYYNPKM7	0.327909090909091	1402842.13363643	RS
79	RCCLCK1	RYYNPKM8	0.337	1402842.13363643	RS
80	RCCLCK1	RYYNPKM9	0.293363636363636	1402842.13363643	RS
81	RCCLCK2	RQYCK1	0.263272727272727	2254915.66494674	RS
82	RCCLCK2	RQYCK2	0.286818181818182	2254915.66494674	RS
83	RCCLCK2	RQYCK3	0.319454545454545	2254915.66494674	RS
84	RCCLCK2	RQYCK4	0.280545454545455	2254915.66494674	RS
85	RCCLCK2	RQYCK5	0.302636363636364	2254915.66494674	RS
86	RCCLCK2	RQYCK6	0.310136363636364	2254915.66494674	RS
87	RCCLCK2	RQYCK7	0.287409090909091	2254915.66494674	RS
88	RCCLCK2	RQYCK8	0.371727272727273	2254915.66494674	RS
89	RCCLCK2	RQYCK9	0.307181818181818	2254915.66494674	RS
90	RCCLCK2	RQYNPK1	0.220409090909091	2254915.66494674	RS
91	RCCLCK2	RQYNPK2	0.206181818181818	2254915.66494674	RS
92	RCCLCK2	RQYNPK3	0.196681818181818	2254915.66494674	RS
93	RCCLCK2	RQYNPK4	0.178636363636364	2254915.66494674	RS
94	RCCLCK2	RQYNPK5	0.174772727272727	2254915.66494674	RS
95	RCCLCK2	RQYNPK6	0.182409090909091	2254915.66494674	RS
96	RCCLCK2	RQYNPK7	0.164181818181818	2254915.66494674	RS
97	RCCLCK2	RQYNPK8	0.156590909090909	2254915.66494674	RS
98	RCCLCK2	RQYNPK9	0.166090909090909	2254915.66494674	RS
99	RCCLCK2	RQYNPKM1	0.369863636363636	2254915.66494674	RS
100	RCCLCK2	RQYNPKM2	0.376909090909091	2254915.66494674	RS
101	RCCLCK2	RQYNPKM3	0.381090909090909	2254915.66494674	RS
102	RCCLCK2	RQYNPKM4	0.388454545454545	2254915.66494674	RS
103	RCCLCK2	RQYNPKM5	0.363818181818182	2254915.66494674	RS
104	RCCLCK2	RQYNPKM6	0.373590909090909	2254915.66494674	RS
105	RCCLCK2	RQYNPKM7	0.389954545454545	2254915.66494674	RS
106	RCCLCK2	RQYNPKM8	0.387090909090909	2254915.66494674	RS
107	RCCLCK2	RQYNPKM9	0.402409090909091	2254915.66494674	RS
108	RCCLCK2	RYCCK1	0.3715	1078859.66222909	RS
109	RCCLCK2	RYCCK2	0.512954545454545	1078859.66222909	RS
110	RCCLCK2	RYCCK3	0.474727272727273	1078859.66222909	RS
111	RCCLCK2	RYCCK4	0.400090909090909	1078859.66222909	RS
112	RCCLCK2	RYCCK5	0.355	1078859.66222909	RS
113	RCCLCK2	RYCCK6	0.367727272727273	1078859.66222909	RS
114	RCCLCK2	RYCCK7	0.362	1078859.66222909	RS
115	RCCLCK2	RYCCK8	0.4355	1078859.66222909	RS
116	RCCLCK2	RYCCK9	0.508045454545454	1078859.66222909	RS
117	RCCLCK2	RYCNPK1	0.451772727272727	1078859.66222909	RS
118	RCCLCK2	RYCNPK2	0.459409090909091	1078859.66222909	RS
119	RCCLCK2	RYCNPK3	0.461818181818182	1078859.66222909	RS
120	RCCLCK2	RYCNPK4	0.432863636363636	1078859.66222909	RS
121	RCCLCK2	RYCNPK5	0.456136363636364	1078859.66222909	RS
122	RCCLCK2	RYCNPK6	0.410045454545454	1078859.66222909	RS
123	RCCLCK2	RYCNPK7	0.420181818181818	1078859.66222909	RS
124	RCCLCK2	RYCNPK8	0.334909090909091	1078859.66222909	RS
125	RCCLCK2	RYCNPK9	0.497454545454545	1078859.66222909	RS
126	RCCLCK2	RYCNPKM1	0.446727272727273	1078859.66222909	RS
127	RCCLCK2	RYCNPKM2	0.469454545454545	1078859.66222909	RS
128	RCCLCK2	RYCNPKM3	0.310136363636364	1078859.66222909	RS
129	RCCLCK2	RYCNPKM4	0.457681818181818	1078859.66222909	RS
130	RCCLCK2	RYCNPKM5	0.3635	1078859.66222909	RS
131	RCCLCK2	RYCNPKM6	0.446227272727273	1078859.66222909	RS
