	site1	site2	comm_sim	site_dis	compartment
1	SECCCK1	SEQYCK1	0.0108636363636364	2254915.66494674	SE
2	SECCCK1	SEQYCK2	0.111863636363636	2254915.66494674	SE
3	SECCCK1	SEQYCK3	0.104272727272727	2254915.66494674	SE
4	SECCCK1	SEQYCK4	0.0132272727272728	2254915.66494674	SE
5	SECCCK1	SEQYCK5	0.633954545454545	2254915.66494674	SE
6	SECCCK1	SEQYCK6	0.472	2254915.66494674	SE
7	SECCCK1	SEQYCK7	0.4005	2254915.66494674	SE
8	SECCCK1	SEQYCK9	0.612909090909091	2254915.66494674	SE
9	SECCCK1	SEQYNPK1	0.687090909090909	2254915.66494674	SE
10	SECCCK1	SEQYNPK2	0.484772727272727	2254915.66494674	SE
11	SECCCK1	SEQYNPK3	0.0894090909090909	2254915.66494674	SE
12	SECCCK1	SEQYNPK4	0.107363636363636	2254915.66494674	SE
13	SECCCK1	SEQYNPK5	0.780409090909091	2254915.66494674	SE
14	SECCCK1	SEQYNPK6	0.666636363636364	2254915.66494674	SE
15	SECCCK1	SEQYNPK7	0.631727272727273	2254915.66494674	SE
16	SECCCK1	SEQYNPK8	0.785681818181818	2254915.66494674	SE
17	SECCCK1	SEQYNPK9	0.703954545454545	2254915.66494674	SE
18	SECCCK1	SEQYNPKM1	0.658681818181818	2254915.66494674	SE
19	SECCCK1	SEQYNPKM2	0.776181818181818	2254915.66494674	SE
20	SECCCK1	SEQYNPKM3	0.793	2254915.66494674	SE
21	SECCCK1	SEQYNPKM4	0.483	2254915.66494674	SE
22	SECCCK1	SEQYNPKM5	0.664590909090909	2254915.66494674	SE
23	SECCCK1	SEQYNPKM6	0.697409090909091	2254915.66494674	SE
24	SECCCK1	SEQYNPKM7	0.717	2254915.66494674	SE
25	SECCCK1	SEQYNPKM8	0.581090909090909	2254915.66494674	SE
26	SECCCK1	SEQYNPKM9	0.658045454545455	2254915.66494674	SE
27	SECCCK1	SEYCCK1	0.312590909090909	1078859.66222909	SE
28	SECCCK1	SEYCCK2	0.137636363636364	1078859.66222909	SE
29	SECCCK1	SEYCCK3	0.00863636363636366	1078859.66222909	SE
30	SECCCK1	SEYCCK4	0.0119090909090909	1078859.66222909	SE
31	SECCCK1	SEYCCK5	0.108772727272727	1078859.66222909	SE
32	SECCCK1	SEYCCK6	0.0426363636363636	1078859.66222909	SE
33	SECCCK1	SEYCCK7	0.08	1078859.66222909	SE
34	SECCCK1	SEYCCK8	0.0658636363636363	1078859.66222909	SE
35	SECCCK1	SEYCCK9	0.00727272727272732	1078859.66222909	SE
36	SECCCK1	SEYCNPK2	0.01	1078859.66222909	SE
37	SECCCK1	SEYCNPK3	0.0126818181818181	1078859.66222909	SE
38	SECCCK1	SEYCNPK4	0.219409090909091	1078859.66222909	SE
39	SECCCK1	SEYCNPK5	0.245590909090909	1078859.66222909	SE
40	SECCCK1	SEYCNPK6	0.0329090909090909	1078859.66222909	SE
41	SECCCK1	SEYCNPK7	0.125818181818182	1078859.66222909	SE
42	SECCCK1	SEYCNPK8	0.270727272727273	1078859.66222909	SE
43	SECCCK1	SEYCNPK9	0.645681818181818	1078859.66222909	SE
44	SECCCK1	SEYCNPKM1	0.52	1078859.66222909	SE
45	SECCCK1	SEYCNPKM2	0.7475	1078859.66222909	SE
46	SECCCK1	SEYCNPKM3	0.0921818181818181	1078859.66222909	SE
47	SECCCK1	SEYCNPKM4	0.876636363636364	1078859.66222909	SE
48	SECCCK1	SEYCNPKM5	0.865	1078859.66222909	SE
49	SECCCK1	SEYCNPKM6	0.557136363636364	1078859.66222909	SE
50	SECCCK1	SEYCNPKM7	0.272181818181818	1078859.66222909	SE
51	SECCCK1	SEYCNPKM8	0.618545454545455	1078859.66222909	SE
52	SECCCK1	SEYCNPKM9	0.419727272727273	1078859.66222909	SE
53	SECCCK1	SEYYCK1	0.872727272727273	1402842.13363643	SE
54	SECCCK1	SEYYCK2	0.637136363636364	1402842.13363643	SE
55	SECCCK1	SEYYCK3	0.673	1402842.13363643	SE
56	SECCCK1	SEYYCK4	0.0668636363636363	1402842.13363643	SE
57	SECCCK1	SEYYCK5	0.685772727272727	1402842.13363643	SE
58	SECCCK1	SEYYCK6	0.795	1402842.13363643	SE
59	SECCCK1	SEYYCK7	0.438818181818182	1402842.13363643	SE
60	SECCCK1	SEYYCK8	0.625636363636364	1402842.13363643	SE
61	SECCCK1	SEYYCK9	0.0351363636363636	1402842.13363643	SE
62	SECCCK1	SEYYNPK1	0.743545454545455	1402842.13363643	SE
63	SECCCK1	SEYYNPK2	0.797363636363636	1402842.13363643	SE
64	SECCCK1	SEYYNPK3	0.859090909090909	1402842.13363643	SE
65	SECCCK1	SEYYNPK4	0.851772727272727	1402842.13363643	SE
66	SECCCK1	SEYYNPK5	0.638681818181818	1402842.13363643	SE
67	SECCCK1	SEYYNPK6	0.871363636363636	1402842.13363643	SE
68	SECCCK1	SEYYNPK7	0.851227272727273	1402842.13363643	SE
69	SECCCK1	SEYYNPK8	0.753590909090909	1402842.13363643	SE
70	SECCCK1	SEYYNPK9	0.856545454545454	1402842.13363643	SE
71	SECCCK1	SEYYNPKM1	0.325727272727273	1402842.13363643	SE
72	SECCCK1	SEYYNPKM2	0.550409090909091	1402842.13363643	SE
73	SECCCK1	SEYYNPKM3	0.362818181818182	1402842.13363643	SE
74	SECCCK1	SEYYNPKM4	0.861818181818182	1402842.13363643	SE
75	SECCCK1	SEYYNPKM5	0.735363636363636	1402842.13363643	SE
76	SECCCK1	SEYYNPKM6	0.0530909090909091	1402842.13363643	SE
77	SECCCK1	SEYYNPKM7	0.820545454545455	1402842.13363643	SE
78	SECCCK1	SEYYNPKM8	0.00700000000000001	1402842.13363643	SE
79	SECCCK1	SEYYNPKM9	0.1115	1402842.13363643	SE
80	SECCCK2	SEQYCK1	0.0138181818181818	2254915.66494674	SE
81	SECCCK2	SEQYCK2	0.115636363636364	2254915.66494674	SE
82	SECCCK2	SEQYCK3	0.112409090909091	2254915.66494674	SE
83	SECCCK2	SEQYCK4	0.0147272727272727	2254915.66494674	SE
84	SECCCK2	SEQYCK5	0.655409090909091	2254915.66494674	SE
85	SECCCK2	SEQYCK6	0.478272727272727	2254915.66494674	SE
86	SECCCK2	SEQYCK7	0.418727272727273	2254915.66494674	SE
