	ed1	ed2	comm_sim	dist.eda	Compartment
1	SECCCK1	SEQYCK1	0.0108636363636364	2.38026026631817	SE
2	SECCCK1	SEQYCK2	0.111863636363636	2.25036798159576	SE
3	SECCCK1	SEQYCK3	0.104272727272727	2.55110474603359	SE
4	SECCCK1	SEQYCK4	0.0132272727272728	2.37245607232981	SE
5	SECCCK1	SEQYCK5	0.633954545454545	2.43200514030794	SE
6	SECCCK1	SEQYCK6	0.472	2.63121799805404	SE
7	SECCCK1	SEQYCK7	0.4005	2.63688680056013	SE
8	SECCCK1	SEQYCK9	0.612909090909091	3.90179870252247	SE
9	SECCCK1	SEQYNPK1	0.687090909090909	2.27644811246439	SE
10	SECCCK1	SEQYNPK2	0.484772727272727	2.40664690377854	SE
11	SECCCK1	SEQYNPK3	0.0894090909090909	2.41167617426895	SE
12	SECCCK1	SEQYNPK4	0.107363636363636	3.1888477266652	SE
13	SECCCK1	SEQYNPK5	0.780409090909091	2.95090613632935	SE
14	SECCCK1	SEQYNPK6	0.666636363636364	2.70499217127223	SE
15	SECCCK1	SEQYNPK7	0.631727272727273	2.76667925347481	SE
16	SECCCK1	SEQYNPK8	0.785681818181818	2.72844961010673	SE
17	SECCCK1	SEQYNPK9	0.703954545454545	2.58156794564046	SE
18	SECCCK1	SEQYNPKM1	0.658681818181818	4.96525393252565	SE
19	SECCCK1	SEQYNPKM2	0.776181818181818	4.36865339690852	SE
20	SECCCK1	SEQYNPKM3	0.793	5.69941798778964	SE
21	SECCCK1	SEQYNPKM4	0.483	5.58174900023999	SE
22	SECCCK1	SEQYNPKM5	0.664590909090909	4.21929677569048	SE
23	SECCCK1	SEQYNPKM6	0.697409090909091	5.13154780487286	SE
24	SECCCK1	SEQYNPKM7	0.717	4.69507459499382	SE
25	SECCCK1	SEQYNPKM8	0.581090909090909	5.52618830114147	SE
26	SECCCK1	SEQYNPKM9	0.658045454545455	4.77631826491522	SE
27	SECCCK1	SEYCCK1	0.312590909090909	3.08184063248622	SE
28	SECCCK1	SEYCCK2	0.137636363636364	3.17300593989621	SE
29	SECCCK1	SEYCCK3	0.00863636363636366	3.31721144627703	SE
30	SECCCK1	SEYCCK4	0.0119090909090909	3.3611575337432	SE
31	SECCCK1	SEYCCK5	0.108772727272727	3.22322795305944	SE
32	SECCCK1	SEYCCK6	0.0426363636363636	3.1766474916071	SE
33	SECCCK1	SEYCCK7	0.08	2.89888208886825	SE
34	SECCCK1	SEYCCK8	0.0658636363636363	3.04627477141985	SE
35	SECCCK1	SEYCCK9	0.00727272727272732	3.28912773548315	SE
36	SECCCK1	SEYCNPK2	0.01	2.94991623672732	SE
37	SECCCK1	SEYCNPK3	0.0126818181818181	2.92032873347546	SE
38	SECCCK1	SEYCNPK4	0.219409090909091	3.46184642932232	SE
39	SECCCK1	SEYCNPK5	0.245590909090909	3.05277570638625	SE
40	SECCCK1	SEYCNPK6	0.0329090909090909	2.96524034682897	SE
41	SECCCK1	SEYCNPK7	0.125818181818182	2.95873171876963	SE
42	SECCCK1	SEYCNPK8	0.270727272727273	2.87053792746586	SE
43	SECCCK1	SEYCNPK9	0.645681818181818	2.92287637029724	SE
44	SECCCK1	SEYCNPKM1	0.52	2.6372223232573	SE
45	SECCCK1	SEYCNPKM2	0.7475	2.85299036871199	SE
46	SECCCK1	SEYCNPKM3	0.0921818181818181	3.05680602302896	SE
47	SECCCK1	SEYCNPKM4	0.876636363636364	2.53547237892387	SE
48	SECCCK1	SEYCNPKM5	0.865	2.58284186003403	SE
49	SECCCK1	SEYCNPKM6	0.557136363636364	3.065084302484	SE
50	SECCCK1	SEYCNPKM7	0.272181818181818	4.06681071617184	SE
51	SECCCK1	SEYCNPKM8	0.618545454545455	3.41082712003164	SE
52	SECCCK1	SEYCNPKM9	0.419727272727273	2.5342649311441	SE
53	SECCCK1	SEYYCK1	0.872727272727273	2.92531806830214	SE
54	SECCCK1	SEYYCK2	0.637136363636364	3.1033927232038	SE
55	SECCCK1	SEYYCK3	0.673	3.16941968333224	SE
56	SECCCK1	SEYYCK4	0.0668636363636363	3.51814862497228	SE
57	SECCCK1	SEYYCK5	0.685772727272727	3.33909435719026	SE
58	SECCCK1	SEYYCK6	0.795	3.1857206634791	SE
59	SECCCK1	SEYYCK7	0.438818181818182	2.93442631606031	SE
60	SECCCK1	SEYYCK8	0.625636363636364	3.1608731863701	SE
61	SECCCK1	SEYYCK9	0.0351363636363636	3.38727265592157	SE
62	SECCCK1	SEYYNPK1	0.743545454545455	3.25780080238593	SE
63	SECCCK1	SEYYNPK2	0.797363636363636	4.44032194531065	SE
64	SECCCK1	SEYYNPK3	0.859090909090909	3.24828171043002	SE
65	SECCCK1	SEYYNPK4	0.851772727272727	3.58477161744803	SE
66	SECCCK1	SEYYNPK5	0.638681818181818	4.16718777070398	SE
67	SECCCK1	SEYYNPK6	0.871363636363636	4.71517751005875	SE
68	SECCCK1	SEYYNPK7	0.851227272727273	3.95393187972504	SE
69	SECCCK1	SEYYNPK8	0.753590909090909	3.77504479290243	SE
70	SECCCK1	SEYYNPK9	0.856545454545454	3.69983025086608	SE
71	SECCCK1	SEYYNPKM1	0.325727272727273	3.23016974239174	SE
72	SECCCK1	SEYYNPKM2	0.550409090909091	3.13239127374008	SE
73	SECCCK1	SEYYNPKM3	0.362818181818182	3.20846797443834	SE
74	SECCCK1	SEYYNPKM4	0.861818181818182	3.19041327682877	SE
75	SECCCK1	SEYYNPKM5	0.735363636363636	3.83910351193652	SE
76	SECCCK1	SEYYNPKM6	0.0530909090909091	3.40709377888927	SE
77	SECCCK1	SEYYNPKM7	0.820545454545455	3.22532594840267	SE
78	SECCCK1	SEYYNPKM8	0.00700000000000001	3.783262317859	SE
79	SECCCK1	SEYYNPKM9	0.1115	3.57972126221317	SE
80	SECCCK2	SECCCK1	0.811227272727273	0.334436237096216	SE
81	SECCCK2	SEQYCK1	0.0138181818181818	2.45329544605145	SE
