SampleID	SiteTre	MAT	TS	MT	MIT	TR	MAP	PS	SDS
BQYCK1	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYCK2	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYCK3	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYCK4	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYCK5	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYCK6	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYCK7	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYCK8	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYCK9	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPK1	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPK2	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPK3	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPK4	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPK5	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPK6	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPK7	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPK8	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPK9	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPKM1	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPKM2	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPKM3	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPKM4	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPKM5	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPKM6	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPKM7	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPKM8	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
BQYNPKM9	BS	18.52	24.39	38.3	-1.39	39.36	1499.67	684	131.26
