SampleID	SiteTre	pH	AP 	AK 	TC 	     TN 	  TOC	SWC	AN	NH4 	NO3
BQYCK1	BS	6.216	5.468	32.26	8.4889	1.6839	7.9905	0.2547	9.241	5.8188	3.4222
BQYCK2	BS	6.336	1.866	27.42	7.6883	1.6581	7.2099	0.269	8.4373	4.9541	3.4832
BQYCK3	BS	5.821	3.7	20.43	7.5395	1.8586	7.0737	0.233	8.4883	5.3498	3.1384
BQYCK4	BS	6.173	2.67	23.01	7.0475	1.7253	6.651	0.2699	8.461	5.0318	3.4292
BQYCK5	BS	5.991	7.054	18.28	7.1384	1.7527	6.8221	0.26	7.931	5.0164	2.9146
BQYCK6	BS	5.84	4.616	20.83	7.5437	1.7186	7.4752	0.2124	8.1051	4.9911	3.114
BQYCK7	BS	5.705	7.736	50.2	5.7596	1.7628	5.4486	0.2469	7.3374	4.7397	2.5977
BQYCK8	BS	6.113	5.326	22.21	6.9238	1.7291	6.6277	0.234	7.8403	4.7534	3.0869
BQYCK9	BS	5.804	5.186	19.61	7.4757	1.5195	7.1619	0.4585	11.3324	6.8027	4.5297
BQYNPK1	BS	5.801	72.74	78.49	11.2605	2.0403	10.4538	0.1978	7.54	4.4772	3.0628
BQYNPK2	BS	5.83	91.32	79.42	11.7276	2.1212	10.9656	0.2013	8.9971	5.0328	3.9643
BQYNPK3	BS	5.803	87.036	83.11	12.073	2.1461	11.3041	0.2229	9.5681	5.8356	3.7326
BQYNPK4	BS	5.554	120.172	68.3	11.322	2.1845	10.9381	0.168	8.2354	5.7628	2.4727
BQYNPK5	BS	5.506	106.704	84.58	10.1486	2.0087	9.4472	0.17	8.4624	4.6512	3.8111
BQYNPK6	BS	5.366	93.562	80.14	12.3708	2.2537	11.8262	0.191	10.1464	5.3735	4.7729
BQYNPK7	BS	4.914	83.146	76.26	12.2063	2.2599	11.8428	0.1751	6.612	3.765	2.847
BQYNPK8	BS	4.748	56.186	108	11.1546	2.0448	10.2922	0.1834	6.3934	3.1394	3.2541
BQYNPK9	BS	4.563	87.354	77.21	12.5756	2.1338	11.7415	0.2073	6.6368	3.0814	3.5554
