SampleID	Longitude	Latitude	SiteTre
BQYCK1	111.8666667	26.75	BS
BQYCK2	111.8666667	26.75	BS
BQYCK3	111.8666667	26.75	BS
BQYCK4	111.8666667	26.75	BS
BQYCK5	111.8666667	26.75	BS
BQYCK6	111.8666667	26.75	BS
BQYCK7	111.8666667	26.75	BS
BQYCK8	111.8666667	26.75	BS
BQYCK9	111.8666667	26.75	BS
BQYNPK1	111.8666667	26.75	BS
BQYNPK2	111.8666667	26.75	BS
BQYNPK3	111.8666667	26.75	BS
BQYNPK4	111.8666667	26.75	BS
BQYNPK5	111.8666667	26.75	BS
BQYNPK6	111.8666667	26.75	BS
BQYNPK7	111.8666667	26.75	BS
BQYNPK8	111.8666667	26.75	BS
BQYNPK9	111.8666667	26.75	BS
BQYNPKM1	111.8666667	26.75	BS
BQYNPKM2	111.8666667	26.75	BS
BQYNPKM3	111.8666667	26.75	BS
BQYNPKM4	111.8666667	26.75	BS
BQYNPKM5	111.8666667	26.75	BS
BQYNPKM6	111.8666667	26.75	BS
BQYNPKM7	111.8666667	26.75	BS
BQYNPKM8	111.8666667	26.75	BS
BQYNPKM9	111.8666667	26.75	BS
BYCCK1	116.5666667	36.81666667	BS
BYCCK2	116.5666667	36.81666667	BS
BYCCK3	116.5666667	36.81666667	BS
BYCCK4	116.5666667	36.81666667	BS
BYCCK5	116.5666667	36.81666667	BS
BYCCK6	116.5666667	36.81666667	BS
BYCCK7	116.5666667	36.81666667	BS
BYCCK8	116.5666667	36.81666667	BS
BYCCK9	116.5666667	36.81666667	BS
BYCNPK1	116.5666667	36.81666667	BS
BYCNPK2	116.5666667	36.81666667	BS
BYCNPK3	116.5666667	36.81666667	BS
BYCNPK4	116.5666667	36.81666667	BS
BYCNPK5	116.5666667	36.81666667	BS
BYCNPK6	116.5666667	36.81666667	BS
BYCNPK7	116.5666667	36.81666667	BS
BYCNPK8	116.5666667	36.81666667	BS
BYCNPK9	116.5666667	36.81666667	BS
BYCNPKM1	116.5666667	36.81666667	BS
BYCNPKM2	116.5666667	36.81666667	BS
BYCNPKM3	116.5666667	36.81666667	BS
BYCNPKM4	116.5666667	36.81666667	BS
BYCNPKM5	116.5666667	36.81666667	BS
BYCNPKM6	116.5666667	36.81666667	BS
BYCNPKM7	116.5666667	36.81666667	BS
BYCNPKM8	116.5666667	36.81666667	BS
BYCNPKM9	116.5666667	36.81666667	BS
BYYCK1	113.6833333	35	BS
BYYCK2	113.6833333	35	BS
BYYCK3	113.6833333	35	BS
BYYCK4	113.6833333	35	BS
BYYCK5	113.6833333	35	BS
BYYCK6	113.6833333	35	BS
BYYCK7	113.6833333	35	BS
BYYCK8	113.6833333	35	BS
BYYCK9	113.6833333	35	BS
BYYNPK1	113.6833333	35	BS
BYYNPK2	113.6833333	35	BS
BYYNPK3	113.6833333	35	BS
BYYNPK4	113.6833333	35	BS
BYYNPK5	113.6833333	35	BS
BYYNPK6	113.6833333	35	BS
BYYNPK7	113.6833333	35	BS
BYYNPK8	113.6833333	35	BS
BYYNPK9	113.6833333	35	BS
BYYNPKM1	113.6833333	35	BS
BYYNPKM2	113.6833333	35	BS
BYYNPKM3	113.6833333	35	BS
BYYNPKM4	113.6833333	35	BS
BYYNPKM5	113.6833333	35	BS
BYYNPKM6	113.6833333	35	BS
BYYNPKM7	113.6833333	35	BS
BYYNPKM8	113.6833333	35	BS
BYYNPKM9	113.6833333	35	BS
BJX20CK1	116.1833333	28.35	BS
BJX20CK2	116.1833333	28.35	BS
BJX20CK3	116.1833333	28.35	BS
BJX20CK4	116.1833333	28.35	BS
BJX20CK5	116.1833333	28.35	BS
BJX20CK6	116.1833333	28.35	BS
BJX20CK7	116.1833333	28.35	BS
BJX20CK8	116.1833333	28.35	BS
BJX20CK9	116.1833333	28.35	BS
BJX20NPK1	116.1833333	28.35	BS
BJX20NPK2	116.1833333	28.35	BS
BJX20NPK3	116.1833333	28.35	BS
BJX20NPK4	116.1833333	28.35	BS
BJX20NPK5	116.1833333	28.35	BS
BJX20NPK6	116.1833333	28.35	BS
BJX20NPK7	116.1833333	28.35	BS
BJX20NPK8	116.1833333	28.35	BS
BJX20NPK9	116.1833333	28.35	BS
BJX20NPKM1	116.1833333	28.35	BS
BJX20NPKM2	116.1833333	28.35	BS
BJX20NPKM3	116.1833333	28.35	BS
BJX20NPKM4	116.1833333	28.35	BS
BJX20NPKM5	116.1833333	28.35	BS
BJX20NPKM6	116.1833333	28.35	BS
BJX20NPKM7	116.1833333	28.35	BS
BJX20NPKM8	116.1833333	28.35	BS
BJX20NPKM9	116.1833333	28.35	BS
BCCCK1	125.4	43.8	BS
BCCCK2	125.4	43.8	BS
BCCCK3	125.4	43.8	BS
BCCNPK1	125.4	43.8	BS
BCCNPK2	125.4	43.8	BS
BCCNPK3	125.4	43.8	BS
BCCNPKM1	125.4	43.8	BS
BCCNPKM2	125.4	43.8	BS
BCCNPKM3	125.4	43.8	BS
BHL20CK1	126.8333333	47.35	BS
BHL20CK2	126.8333333	47.35	BS
BHL20CK3	126.8333333	47.35	BS
BHL20NPK1	126.8333333	47.35	BS
BHL20NPK2	126.8333333	47.35	BS
BHL20NPK3	126.8333333	47.35	BS
BHL20NPKM1	126.8333333	47.35	BS
BHL20NPKM2	126.8333333	47.35	BS
BHL20NPKM3	126.8333333	47.35	BS
RQYCK1	111.8666667	26.75	RS
RQYCK2	111.8666667	26.75	RS
RQYCK3	111.8666667	26.75	RS
RQYCK4	111.8666667	26.75	RS
RQYCK5	111.8666667	26.75	RS
RQYCK6	111.8666667	26.75	RS
RQYCK7	111.8666667	26.75	RS
RQYCK8	111.8666667	26.75	RS
RQYCK9	111.8666667	26.75	RS
RQYNPK1	111.8666667	26.75	RS
RQYNPK2	111.8666667	26.75	RS
RQYNPK3	111.8666667	26.75	RS
RQYNPK4	111.8666667	26.75	RS
RQYNPK5	111.8666667	26.75	RS
RQYNPK6	111.8666667	26.75	RS
RQYNPK7	111.8666667	26.75	RS
RQYNPK8	111.8666667	26.75	RS
RQYNPK9	111.8666667	26.75	RS
RQYNPKM1	111.8666667	26.75	RS
RQYNPKM2	111.8666667	26.75	RS
RQYNPKM3	111.8666667	26.75	RS
RQYNPKM4	111.8666667	26.75	RS
RQYNPKM5	111.8666667	26.75	RS
RQYNPKM6	111.8666667	26.75	RS
RQYNPKM7	111.8666667	26.75	RS
RQYNPKM8	111.8666667	26.75	RS
RQYNPKM9	111.8666667	26.75	RS
RYCCK1	116.5666667	36.81666667	RS
RYCCK2	116.5666667	36.81666667	RS
RYCCK3	116.5666667	36.81666667	RS
RYCCK4	116.5666667	36.81666667	RS
RYCCK5	116.5666667	36.81666667	RS
RYCCK6	116.5666667	36.81666667	RS
RYCCK7	116.5666667	36.81666667	RS
RYCCK8	116.5666667	36.81666667	RS
RYCCK9	116.5666667	36.81666667	RS
RYCNPK1	116.5666667	36.81666667	RS
RYCNPK2	116.5666667	36.81666667	RS
RYCNPK3	116.5666667	36.81666667	RS
RYCNPK4	116.5666667	36.81666667	RS
RYCNPK5	116.5666667	36.81666667	RS
RYCNPK6	116.5666667	36.81666667	RS
RYCNPK7	116.5666667	36.81666667	RS
RYCNPK8	116.5666667	36.81666667	RS
RYCNPK9	116.5666667	36.81666667	RS
RYCNPKM1	116.5666667	36.81666667	RS
RYCNPKM2	116.5666667	36.81666667	RS
RYCNPKM3	116.5666667	36.81666667	RS
RYCNPKM4	116.5666667	36.81666667	RS
RYCNPKM5	116.5666667	36.81666667	RS
RYCNPKM6	116.5666667	36.81666667	RS
RYCNPKM7	116.5666667	36.81666667	RS
RYCNPKM8	116.5666667	36.81666667	RS
RYCNPKM9	116.5666667	36.81666667	RS
RYYCK2	113.6833333	35	RS
RYYCK3	113.6833333	35	RS
RYYCK4	113.6833333	35	RS
RYYCK5	113.6833333	35	RS
RYYCK6	113.6833333	35	RS
RYYCK7	113.6833333	35	RS
RYYCK8	113.6833333	35	RS
RYYCK9	113.6833333	35	RS
RYYNPK1	113.6833333	35	RS
RYYNPK2	113.6833333	35	RS
RYYNPK3	113.6833333	35	RS
RYYNPK4	113.6833333	35	RS
RYYNPK5	113.6833333	35	RS
RYYNPK6	113.6833333	35	RS
RYYNPK7	113.6833333	35	RS
RYYNPK8	113.6833333	35	RS
RYYNPK9	113.6833333	35	RS
RYYNPKM1	113.6833333	35	RS
RYYNPKM2	113.6833333	35	RS
RYYNPKM3	113.6833333	35	RS
RYYNPKM4	113.6833333	35	RS
RYYNPKM5	113.6833333	35	RS
RYYNPKM6	113.6833333	35	RS
RYYNPKM7	113.6833333	35	RS
RYYNPKM8	113.6833333	35	RS
RYYNPKM9	113.6833333	35	RS
RCCSCK1	125.4	43.8	RS
RCCSCK2	125.4	43.8	RS
RCCSCK3	125.4	43.8	RS
RCCSNPK1	125.4	43.8	RS
RCCSNPK2	125.4	43.8	RS
RCCSNPK3	125.4	43.8	RS
RCCSNPKM1	125.4	43.8	RS
RCCSNPKM2	125.4	43.8	RS
RCCSNPKM3	125.4	43.8	RS
RCCLCK1	125.4	43.8	RS
RCCLCK2	125.4	43.8	RS
RCCLCK3	125.4	43.8	RS
RCCLNPK1	125.4	43.8	RS
RCCLNPK2	125.4	43.8	RS
RCCLNPK3	125.4	43.8	RS
RCCLNPKM1	125.4	43.8	RS
RCCLNPKM2	125.4	43.8	RS
RCCLNPKM3	125.4	43.8	RS
RJX20CK1	116.1833333	28.35	RS
RJX20CK2	116.1833333	28.35	RS
RJX20CK3	116.1833333	28.35	RS
RJX20CK4	116.1833333	28.35	RS
RJX20CK5	116.1833333	28.35	RS
RJX20CK6	116.1833333	28.35	RS
RJX20CK7	116.1833333	28.35	RS
RJX20CK8	116.1833333	28.35	RS
RJX20CK9	116.1833333	28.35	RS
RJX20NPK1	116.1833333	28.35	RS
RJX20NPK2	116.1833333	28.35	RS
RJX20NPK3	116.1833333	28.35	RS
RJX20NPK4	116.1833333	28.35	RS
RJX20NPK5	116.1833333	28.35	RS
RJX20NPK6	116.1833333	28.35	RS
RJX20NPK7	116.1833333	28.35	RS
RJX20NPK8	116.1833333	28.35	RS
RJX20NPK9	116.1833333	28.35	RS
RJX20NPKM1	116.1833333	28.35	RS
RJX20NPKM2	116.1833333	28.35	RS
RJX20NPKM3	116.1833333	28.35	RS
RJX20NPKM4	116.1833333	28.35	RS
RJX20NPKM5	116.1833333	28.35	RS
RJX20NPKM8	116.1833333	28.35	RS
RJX20NPKM9	116.1833333	28.35	RS
RHL20SCK1	116.1833333	28.35	RS
RHL20SCK2	116.1833333	28.35	RS
RHL20SCK3	126.8333333	47.35	RS
RHL20SNPK1	126.8333333	47.35	RS
RHL20SNPK2	126.8333333	47.35	RS
RHL20SNPK3	126.8333333	47.35	RS
RHL20SNPKM1	126.8333333	47.35	RS
RHL20SNPKM2	126.8333333	47.35	RS
RHL20SNPKM3	126.8333333	47.35	RS
RHL20LCK1	126.8333333	47.35	RS
RHL20LCK2	126.8333333	47.35	RS
RHL20LCK3	126.8333333	47.35	RS
RHL20LNPK1	126.8333333	47.35	RS
RHL20LNPK2	126.8333333	47.35	RS
RHL20LNPK3	126.8333333	47.35	RS
RHL20LNPKM1	126.8333333	47.35	RS
RHL20LNPKM2	126.8333333	47.35	RS
RHL20LNPKM3	126.8333333	47.35	RS
REQYCK1	111.8666667	26.75	RE
REQYCK2	111.8666667	26.75	RE
REQYCK3	111.8666667	26.75	RE
REQYCK4	111.8666667	26.75	RE
REQYCK5	111.8666667	26.75	RE
REQYCK6	111.8666667	26.75	RE
REQYCK7	111.8666667	26.75	RE
REQYCK8	111.8666667	26.75	RE
REQYCK9	111.8666667	26.75	RE
REQYNPK1	111.8666667	26.75	RE
REQYNPK2	111.8666667	26.75	RE
REQYNPK3	111.8666667	26.75	RE
REQYNPK4	111.8666667	26.75	RE
REQYNPK5	111.8666667	26.75	RE
REQYNPK6	111.8666667	26.75	RE
REQYNPK7	111.8666667	26.75	RE
REQYNPK8	111.8666667	26.75	RE
REQYNPK9	111.8666667	26.75	RE
REQYNPKM1	111.8666667	26.75	RE
REQYNPKM2	111.8666667	26.75	RE
REQYNPKM3	111.8666667	26.75	RE
REQYNPKM4	111.8666667	26.75	RE
REQYNPKM5	111.8666667	26.75	RE
REQYNPKM6	111.8666667	26.75	RE
REQYNPKM7	111.8666667	26.75	RE
REQYNPKM8	111.8666667	26.75	RE
REQYNPKM9	111.8666667	26.75	RE
REYCCK1	116.5666667	36.81666667	RE
REYCCK2	116.5666667	36.81666667	RE
REYCCK3	116.5666667	36.81666667	RE
REYCCK4	116.5666667	36.81666667	RE
REYCCK5	116.5666667	36.81666667	RE
REYCCK6	116.5666667	36.81666667	RE
REYCCK7	116.5666667	36.81666667	RE
REYCCK8	116.5666667	36.81666667	RE
REYCCK9	116.5666667	36.81666667	RE
REYCNPK1	116.5666667	36.81666667	RE
REYCNPK2	116.5666667	36.81666667	RE
REYCNPK3	116.5666667	36.81666667	RE
REYCNPK4	116.5666667	36.81666667	RE
REYCNPK5	116.5666667	36.81666667	RE
REYCNPK6	116.5666667	36.81666667	RE
REYCNPK7	116.5666667	36.81666667	RE
REYCNPK8	116.5666667	36.81666667	RE
REYCNPK9	116.5666667	36.81666667	RE
REYCNPKM1	116.5666667	36.81666667	RE
REYCNPKM2	116.5666667	36.81666667	RE
REYCNPKM3	116.5666667	36.81666667	RE
REYCNPKM4	116.5666667	36.81666667	RE
REYCNPKM5	116.5666667	36.81666667	RE
REYCNPKM6	116.5666667	36.81666667	RE
REYCNPKM7	116.5666667	36.81666667	RE
REYCNPKM8	116.5666667	36.81666667	RE
REYCNPKM9	116.5666667	36.81666667	RE
REYYCK1	113.6833333	35	RE
REYYCK2	113.6833333	35	RE
REYYCK3	113.6833333	35	RE
REYYCK4	113.6833333	35	RE
REYYCK5	113.6833333	35	RE
REYYCK6	113.6833333	35	RE
REYYCK7	113.6833333	35	RE
REYYCK8	113.6833333	35	RE
REYYCK9	113.6833333	35	RE
REYYNPK1	113.6833333	35	RE
REYYNPK2	113.6833333	35	RE
REYYNPK3	113.6833333	35	RE
REYYNPK4	113.6833333	35	RE
REYYNPK5	113.6833333	35	RE
REYYNPK6	113.6833333	35	RE
REYYNPK7	113.6833333	35	RE
REYYNPK8	113.6833333	35	RE
REYYNPK9	113.6833333	35	RE
REYYNPKM1	113.6833333	35	RE
REYYNPKM2	113.6833333	35	RE
REYYNPKM3	113.6833333	35	RE
REYYNPKM4	113.6833333	35	RE
REYYNPKM5	113.6833333	35	RE
REYYNPKM6	113.6833333	35	RE
REYYNPKM7	113.6833333	35	RE
REYYNPKM8	113.6833333	35	RE
REYYNPKM9	113.6833333	35	RE
RECCSCK1	125.4	43.8	RE
RECCSCK2	125.4	43.8	RE
RECCSCK3	125.4	43.8	RE
RECCSNPK1	125.4	43.8	RE
RECCSNPK2	125.4	43.8	RE
RECCSNPK3	125.4	43.8	RE
RECCSNPKM1	125.4	43.8	RE
RECCSNPKM2	125.4	43.8	RE
RECCSNPKM3	125.4	43.8	RE
RECCLCK1	125.4	43.8	RE
RECCLCK2	125.4	43.8	RE
RECCLCK3	125.4	43.8	RE
RECCLNPK1	125.4	43.8	RE
RECCLNPK2	125.4	43.8	RE
RECCLNPK3	125.4	43.8	RE
RECCLNPKM1	125.4	43.8	RE
RECCLNPKM2	125.4	43.8	RE
RECCLNPKM3	125.4	43.8	RE
REJX20CK1	116.1833333	28.35	RE
REJX20CK2	116.1833333	28.35	RE
REJX20CK3	116.1833333	28.35	RE
REJX20CK4	116.1833333	28.35	RE
REJX20CK5	116.1833333	28.35	RE
REJX20CK6	116.1833333	28.35	RE
REJX20CK7	116.1833333	28.35	RE
REJX20CK8	116.1833333	28.35	RE
REJX20CK9	116.1833333	28.35	RE
REJX20NPK1	116.1833333	28.35	RE
REJX20NPK2	116.1833333	28.35	RE
REJX20NPK3	116.1833333	28.35	RE
REJX20NPK4	116.1833333	28.35	RE
REJX20NPK5	116.1833333	28.35	RE
REJX20NPK6	116.1833333	28.35	RE
REJX20NPK7	116.1833333	28.35	RE
REJX20NPK8	116.1833333	28.35	RE
REJX20NPK9	116.1833333	28.35	RE
REJX20NPKM1	116.1833333	28.35	RE
REJX20NPKM2	116.1833333	28.35	RE
REJX20NPKM3	116.1833333	28.35	RE
REJX20NPKM4	116.1833333	28.35	RE
REJX20NPKM5	116.1833333	28.35	RE
REJX20NPKM6	116.1833333	28.35	RE
REJX20NPKM8	116.1833333	28.35	RE
