	LEQYCK1	LEQYCK2	LEQYCK3	LEQYCK4	LEQYCK6	LEQYCK7	LEQYCK8	LEQYNPK1	LEQYNPK2	LEQYNPK3	LEQYNPK4	LEQYNPK5	LEQYNPK6	LEQYNPK7	LEQYNPK8	LEQYNPKM1	LEQYNPKM2	LEQYNPKM3	LEQYNPKM4	LEQYNPKM5	LEQYNPKM6	LEQYNPKM7	LEQYNPKM8	LEQYNPKM9	LEYCCK1	LEYCCK2	LEYCCK3	LEYCCK4	LEYCCK5	LEYCCK6	LEYCCK7	LEYCCK8	LEYCCK9	LEYCNPK1	LEYCNPK2	LEYCNPK3	LEYCNPK4	LEYCNPK5	LEYCNPK6	LEYCNPK7	LEYCNPK8	LEYCNPK9	LEYCNPKM1	LEYCNPKM2	LEYCNPKM3	LEYCNPKM4	LEYCNPKM5	LEYCNPKM6	LEYCNPKM7	LEYCNPKM8	LEYCNPKM9	LEYYCK1	LEYYCK2	LEYYCK3	LEYYCK4	LEYYCK5	LEYYCK6	LEYYCK7	LEYYCK8	LEYYCK9	LEYYNPK1	LEYYNPK2	LEYYNPK3	LEYYNPK4	LEYYNPK5	LEYYNPK6	LEYYNPK7	LEYYNPK8	LEYYNPK9	LEYYNPKM1	LEYYNPKM2	LEYYNPKM3	LEYYNPKM4	LEYYNPKM5	LEYYNPKM6	LEYYNPKM7	LEYYNPKM8	LEYYNPKM9	LECCCK1	LECCCK2	LECCCK3	LECCCK4	LECCCK5	LECCCK6	LECCCK7	LECCCK8	LECCCK9	LECCNPK1	LECCNPK2	LECCNPK3	LECCNPK4	LECCNPK5	LECCNPK6	LECCNPK7	LECCNPK8	LECCNPK9	LECCNPKM1	LECCNPKM2	LECCNPKM3	LECCNPKM4	LECCNPKM5	LECCNPKM6	LECCNPKM7	LECCNPKM8	LECCNPKM9	LEJX20CK1	LEJX20CK2	LEJX20CK3	LEJX20CK4	LEJX20CK5	LEJX20CK6	LEJX20CK7	LEJX20CK8	LEJX20CK9	LEJX20NPK1	LEJX20NPK2	LEJX20NPK3	LEJX20NPK4	LEJX20NPK5	LEJX20NPK6	LEJX20NPK7	LEJX20NPK8	LEJX20NPK9	LEJX20NPKM1	LEJX20NPKM2	LEJX20NPKM3	LEJX20NPKM4	LEJX20NPKM5	LEJX20NPKM6	LEJX20NPKM7	LEJX20NPKM8	LEJX20NPKM9	LEHL20CK1	LEHL20CK2	LEHL20CK3	LEHL20CK4	LEHL20CK5	LEHL20CK6	LEHL20CK7	LEHL20CK8	LEHL20CK9	LEHL20NPK1	LEHL20NPK2	LEHL20NPK3	LEHL20NPK4	LEHL20NPK5	LEHL20NPK6	LEHL20NPK7	LEHL20NPK8	LEHL20NPK9	LEHL20NPKM2	LEHL20NPKM3	LEHL20NPKM4	LEHL20NPKM5	LEHL20NPKM6	LEHL20NPKM7	LEHL20NPKM8	LEHL20NPKM9
OTU_3	47	107	64	65	93	1041	133	589	483	315	217	713	307	383	119	1023	402	232	382	273	329	340	494	734	4898	3534	1020	941	1891	2987	1463	1944	2356	752	630	1390	1298	636	4686	1360	3039	581	1002	4760	647	2405	1549	729	4923	1273	893	5757	576	9005	9138	3689	2886	898	2561	605	1141	264	908	717	1817	2497	779	1989	6420	359	1025	1652	295	277	276	1518	648	992	873	784	1876	945	2088	4139	1481	820	1581	395	715	613	295	587	3609	405	402	768	502	503	2528	290	95	160	1038	2143	1804	1263	1141	860	6343	3891	3211	6645	5997	4160	2774	1825	2593	7857	3060	2559	3712	5291	5049	6487	8528	5153	11197	6402	3080	7659	9554	7725	1612	5251	8199	8727	4375	13965	836	5846	8276	1445	5972	9099	3858	8875	4694	9727	3058	5638	3308	4598	2390	4252	2554	531	1338	4712
OTU_2	2097	3872	14319	4864	5296	6199	10983	215	229	306	386	428	378	167	305	172	343	232	2326	133	109	134	2193	121	1037	2450	3327	1091	1119	3737	2471	3500	3273	3947	1825	884	987	314	2084	287	245	3230	1158	441	341	2054	1562	1298	315	77	4070	169	2088	259	2834	1848	1435	2893	7844	9137	3423	2737	5067	3113	3000	607	6925	3440	844	5544	1302	2104	3086	3071	1333	2725	11766	3417	365	1189	151	1279	2105	115	102	321	84	134	128	158	242	198	307	194	248	142	189	5789	117	129	101	104	129	79	64	345	523	418	428	552	260	168	341	118	417	414	336	263	121	853	455	346	268	113	201	156	102	232	306	163	151	168	10142	7624	2679	6268	8056	136	13288	1066	1160	5813	783	113	4808	1222	3986	709	281	425	796	649	749	882	570	2871	485	1466
OTU_7	45	51	56	83	108	623	71	820	2420	2071	1736	1585	1884	1327	1435	423	796	1019	2163	585	1055	311	1059	496	900	663	884	698	298	463	336	886	500	351	3968	1300	1522	5974	959	1957	2291	110	1312	1129	3542	1017	2197	3795	1256	3896	168	237	4670	198	283	849	2876	256	111	125	1364	310	1098	2465	832	3021	380	584	1770	177	1986	1408	185	354	139	269	469	246	2646	3689	1204	1706	1132	377	3910	6004	2948	4317	1864	1830	5351	3032	1143	4140	2032	2704	1927	2322	2053	7268	2849	2385	2315	1250	1517	424	366	366	829	349	1757	722	295	1295	329	2607	476	1587	330	2568	362	823	6659	2731	437	3073	2526	4920	1391	1471	1049	1594	108	111	174	161	142	142	93	167	220	170	307	209	283	448	306	445	274	437	407	413	320	230	17	0	11	40
OTU_8	1543	802	212	157	1198	2218	175	38	25	50	100	66	122	36	47	29	90	45	52	39	29	41	171	34	1609	1899	766	572	317	5956	3832	2226	1288	3240	2983	1018	454	161	395	117	138	1302	1530	639	71	1124	527	1077	229	148	5189	159	1849	316	749	1763	2490	1304	3082	5985	4296	15009	6214	2176	4038	1689	5657	4540	608	13260	6363	11536	11358	12356	15012	11317	3061	7455	156	33	12	15	16	2	5	5	3	6	191	3	8	6	3	7	13	6	6	18	2	5	4	2	4	1	0	1	3	2	22	0	12	0	3	0	4	1	2	0	0	0	1	0	4	3	3	0	1	4	1	5	1	108	1	2	0	2	1	0	1	2	0	1	0	0	2	0	0	4	1	0	2	1	0	0	0	0	0	3
OTU_18	211	123	61	67	299	862	195	905	451	248	171	262	205	557	361	663	350	847	1330	758	674	164	441	314	669	1213	1107	572	2362	654	474	880	380	522	334	1004	902	878	2062	1231	1526	108	1132	474	387	1471	1366	793	2246	1081	490	1181	728	609	624	1687	1073	1014	504	1360	1477	169	1065	1021	581	2202	500	2566	979	219	520	729	229	180	450	275	560	966	430	711	1240	714	716	620	925	887	348	613	981	678	417	696	1026	747	473	529	1712	1377	553	505	788	870	1214	953	1518	704	4281	1788	1921	1563	1568	2905	1564	2049	1280	3079	3090	1019	7069	2682	8296	547	2198	3562	5138	621	513	747	1262	516	542	330	156	243	307	300	213	341	178	256	346	208	579	569	418	798	522	1219	365	633	527	674	425	327	63	1	5	52
OTU_14	30	35	29	61	86	99	59	1413	263	774	356	301	388	198	157	898	1317	1973	293	472	1097	487	446	791	4683	1516	305	1110	223	688	477	744	651	338	467	1701	4835	1662	514	1146	904	91	2657	962	1921	1560	767	1744	309	3326	263	896	939	887	445	2806	3431	3490	802	63	1065	150	517	949	1849	3301	1228	371	1089	182	767	496	176	216	286	232	316	437	1916	1972	475	749	767	930	1187	1314	1090	502	884	1250	686	1591	685	2415	5710	1212	592	250	215	1894	2142	1787	219	320	450	832	205	86	6078	1861	1879	439	629	470	85	258	617	3226	279	3061	617	335	272	432	822	1203	94	619	213	869	2767	536	87	94	2174	194	246	773	123	806	859	139	721	389	242	354	337	414	434	601	399	625	285	253	326	149	22	180
OTU_12	8	14	23	20	14	39	26	132	200	338	205	2213	429	1243	279	1341	856	307	327	499	617	504	476	579	83	41	81	41	46	39	61	106	131	113	222	106	108	59	89	214	655	35	65	54	62	33	197	101	163	24	49	33	80	109	115	208	319	17	17	75	83	22	78	326	149	200	17	72	120	7	731	33	23	32	83	85	92	101	4902	1697	3421	3496	2804	982	5331	3412	3042	6117	6273	1331	5328	3023	2471	3992	1341	4894	5267	1915	2000	3090	331	1422	2665	7758	4847	2917	731	46	130	244	663	2654	265	984	173	186	119	688	871	526	731	349	281	186	629	243	87	155	691	136	160	1277	84	154	1060	162	152	448	75	2294	660	125	2087	1699	243	830	875	404	390	501	604	796	314	963	641	124	215	1258
OTU_10	23	23	34	17	73	379	164	85	79	219	90	166	133	67	338	1455	329	526	556	451	819	402	331	394	330	1032	1001	873	4021	86	129	1425	373	1715	337	5062	434	278	1629	766	722	52	582	303	1186	980	2399	252	2742	989	70	3561	322	534	420	362	166	39	31	161	85	40	67	208	539	80	39	63	57	28	557	61	43	67	24	83	35	49	734	499	1889	994	166	4252	292	891	1309	901	939	1184	445	568	2572	699	170	2560	1492	1593	5170	519	474	1089	6019	2413	1308	55	125	55	111	320	113	88	79	1280	101	149	58	143	378	246	231	227	142	1145	65	849	49	129	132	102	228	78	103	632	1582	149	1318	1586	84	994	2452	482	2687	1667	596	933	3488	481	12908	5463	1001	1152	297	3631	414	27	622	5473
OTU_6	147	323	367	262	1555	1093	712	48	29	71	88	51	103	30	40	27	107	120	607	42	43	43	285	46	144	720	419	375	326	488	784	319	543	667	246	159	1258	253	1915	297	300	469	2281	1063	211	876	824	524	269	149	1119	914	629	517	286	577	575	330	3009	1501	806	220	141	292	1039	814	1178	1381	1439	217	791	338	453	344	486	437	381	1556	276	83	21	82	46	156	45	87	30	44	35	61	69	39	43	102	51	40	46	52	27	37	18	26	34	25	12	4513	1959	16082	1195	877	352	2478	464	1250	13724	6553	8023	371	205	1784	840	1884	318	1016	648	621	1134	284	4162	603	285	245	209	227	167	247	422	105	353	192	208	335	234	100	480	337	546	619	292	352	1413	1127	1753	462	28	16	16	22
OTU_69	262	3327	998	5350	1855	6200	649	554	256	127	199	110	204	59	594	170	190	147	1066	64	68	42	1313	68	205	427	1462	431	264	2952	1801	3439	1570	1337	1800	357	472	186	1358	162	93	10257	670	153	125	1247	299	54	55	16	561	19	68	35	73	128	43	40	224	80	604	468	398	104	329	53	153	48	186	95	329	123	246	339	194	190	669	114	162	832	72	1118	1841	76	49	153	44	78	39	84	177	80	83	93	106	66	61	2214	48	37	34	41	48	34	22	139	224	118	146	483	125	115	279	100	336	264	304	153	48	585	280	244	167	73	78	65	81	132	148	119	82	101	7997	5788	1868	2681	4023	82	4792	651	625	11317	1029	87	5721	771	1292	503	175	273	592	443	561	992	120	365	88	570
