	REQYCK1	REQYCK2	REQYCK3	REQYCK4	REQYCK5	REQYCK6	REQYCK7	REQYCK8	REQYCK9	REQYNPK1	REQYNPK2	REQYNPK3	REQYNPK4	REQYNPK5	REQYNPK6	REQYNPK7	REQYNPK8	REQYNPK9	REQYNPKM1	REQYNPKM2	REQYNPKM3	REQYNPKM4	REQYNPKM5	REQYNPKM6	REQYNPKM7	REQYNPKM8	REQYNPKM9	REYCCK1	REYCCK2	REYCCK3	REYCCK4	REYCCK5	REYCCK6	REYCCK7	REYCCK8	REYCCK9	REYCNPK1	REYCNPK2	REYCNPK3	REYCNPK4	REYCNPK5	REYCNPK6	REYCNPK7	REYCNPK8	REYCNPK9	REYCNPKM1	REYCNPKM2	REYCNPKM3	REYCNPKM4	REYCNPKM5	REYCNPKM6	REYCNPKM7	REYCNPKM8	REYCNPKM9	REYYCK1	REYYCK2	REYYCK3	REYYCK4	REYYCK5	REYYCK6	REYYCK7	REYYCK8	REYYCK9	REYYNPK1	REYYNPK2	REYYNPK3	REYYNPK4	REYYNPK5	REYYNPK6	REYYNPK7	REYYNPK8	REYYNPK9	REYYNPKM1	REYYNPKM2	REYYNPKM3	REYYNPKM4	REYYNPKM5	REYYNPKM6	REYYNPKM7	REYYNPKM8	REYYNPKM9	RECCSCK1	RECCSCK2	RECCSCK3	RECCSNPK1	RECCSNPK2	RECCSNPK3	RECCSNPKM1	RECCSNPKM2	RECCSNPKM3	RECCLCK1	RECCLCK2	RECCLCK3	RECCLNPK1	RECCLNPK2	RECCLNPK3	RECCLNPKM1	RECCLNPKM2	RECCLNPKM3	REJX20CK1	REJX20CK2	REJX20CK3	REJX20CK4	REJX20CK5	REJX20CK6	REJX20CK7	REJX20CK8	REJX20CK9	REJX20NPK1	REJX20NPK2	REJX20NPK3	REJX20NPK4	REJX20NPK5	REJX20NPK6	REJX20NPK7	REJX20NPK8	REJX20NPK9	REJX20NPKM1	REJX20NPKM2	REJX20NPKM3	REJX20NPKM4	REJX20NPKM5	REJX20NPKM6	REJX20NPKM8	REJX20NPKM9	REHL20SCK1	REHL20SCK2	REHL20SCK3	REHL20SNPK1	REHL20SNPK2	REHL20SNPK3	REHL20SNPKM1	REHL20SNPKM2	REHL20SNPKM3	REHL20LNPK1	REHL20LNPK2	REHL20LNPKM1	REHL20LNPKM2
OTU_2	121	166	98	437	145	181	87	80	86	60	55	26	35	203	38	23	29	31	1029	355	123	160	383	81	230	215	430	210	585	223	213	328	5389	418	3148	696	3416	6654	3179	2392	543	3103	1104	624	322	2000	2341	1145	9189	8113	2583	5419	513	2489	3826	3478	5132	3892	12249	5159	5395	6899	4260	1825	3940	1457	2678	3092	2474	6626	3767	5017	1294	3813	1221	1268	1688	4004	1802	3757	6463	401	3205	175	185	102	103	141	521	293	107	188	61	76	2185	95	58	4122	88	28	40	23	28	16	36	49	63	37	39	37	38	25	45	41	42	58	70	82	58	49	49	52	51	58	36	1284	460	2062	668	3273	217	2917	89	3129	315	268	301	219
OTU_19	49	69	75	245	54	33	445	173	49	21	25	17	18	17	17	14	5	13	29	866	30	86	54	39	48	101	111	172	147	72	979	49	196	50	213	108	1385	871	887	458	206	2764	371	413	343	7227	2306	2404	818	1196	634	1203	5789	3722	2118	165	243	5653	433	683	404	971	585	13591	4707	7271	1246	2427	5978	1341	1361	369	11406	8162	4763	3837	9169	4625	8572	4227	1209	320	125	344	771	330	278	192	3174	8582	1662	301	502	159	655	112	1605	2108	2043	90	78	43	72	37	91	91	128	96	69	51	91	39	145	133	127	143	133	356	314	121	91	102	162	108	138	607	1205	269	3197	2299	4112	2782	2991	1384	3910	3951	3563	499
OTU_365	942	154	318	4491	898	938	107	181	190	59	53	27	22	57	32	23	27	19	5270	411	77	140	1184	96	1826	310	659	199	911	125	175	601	445	121	2370	696	1299	3127	6950	307	949	552	100	60	782	262	194	123	378	371	916	111	682	1009	1157	7657	1159	1863	857	1392	1213	1370	1197	1330	3241	2397	591	2429	1271	1055	1114	2158	538	534	1449	736	988	1146	728	928	2507	96	129	143	120	145	171	162	799	143	102	238	57	183	7778	95	194	6308	220	114	141	80	98	42	108	132	181	131	88	599	114	80	129	164	132	186	218	194	146	210	162	174	105	91	139	11308	10755	13288	643	1083	6174	641	2404	7904	925	995	748	642
OTU_9	1504	849	901	1027	903	3495	3761	1302	2696	2193	2122	824	3499	2778	3282	1978	9105	2045	1007	2557	2900	5548	1215	5380	2125	3677	1165	591	389	470	498	272	435	222	288	290	196	137	188	256	192	215	97	58	38	137	114	207	195	143	86	93	54	117	68	61	47	61	101	51	132	100	143	140	105	82	79	56	85	160	170	152	136	187	124	109	85	131	102	117	63	188	38	444	155	154	1435	140	183	147	78	97	48	94	269	108	239	395	230	3759	1861	1497	824	1324	1345	6372	1877	1989	2680	1147	1616	2033	935	1161	3439	833	629	1880	1385	1209	765	1006	2130	1576	2110	157	150	227	203	2689	213	223	217	170	1245	1278	1212	1161
OTU_27	826	619	525	577	1456	460	653	689	1254	2323	3465	631	3002	3420	2694	2728	2009	3832	252	893	403	442	945	1305	636	642	1016	339	302	301	330	169	282	174	190	391	147	124	166	191	520	188	148	65	161	157	106	168	148	120	627	86	63	137	80	100	53	28	69	177	97	589	210	108	116	118	120	50	58	145	117	111	142	205	148	90	96	95	119	100	72	34	23	177	73	88	114	80	130	106	44	72	44	90	40	28	121	150	153	1442	2962	2623	2240	1874	2249	918	2090	2261	2027	2537	3322	2904	2906	4073	2759	3174	2160	602	1141	978	581	389	949	490	736	185	197	154	265	296	518	233	1622	185	2171	2158	1602	1269
OTU_2095	62	37	22	26	9	6	134	9	15	42	70	222	522	22	76	24	24	38	0	2	10	25	5	21	10	23	48	29	24	26	22	16	15	9	7	16	6	7	7	13	5	4	68	51	36	87	83	130	143	105	68	69	35	74	48	27	31	30	52	33	87	64	90	70	56	57	55	32	48	95	86	105	76	111	110	80	52	82	88	72	46	15	25	33	35	37	31	30	31	26	23	20	17	24	17	15	12	55	9	5445	2273	3870	7275	5507	4383	3915	5316	5624	4996	3190	3147	4006	1964	3748	3137	1983	1864	3535	544	638	3869	679	3011	656	798	303	280	271	289	510	411	445	344	269	2136	2319	2086	2138
OTU_69	57	124	48	177	33	36	78	91	45	40	44	32	19	233	24	10	20	21	135	149	37	93	10725	109	44	103	181	109	169	89	101	60	2593	153	245	96	148	818	997	1525	62	1035	648	738	97	5088	562	500	6671	2864	269	1534	199	1282	1173	510	1267	403	408	1716	2210	3759	5223	294	870	341	1275	842	426	1350	976	5063	368	2237	451	571	842	2301	1083	681	1642	381	585	85	60	53	31	42	360	431	66	371	26	78	69	220	18	226	26	27	33	13	15	5	31	23	42	32	15	16	36	19	35	34	35	51	42	47	37	23	32	36	31	23	19	116	113	257	3701	176	86	1143	503	1882	244	206	209	142
OTU_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	2	2	2	2	1	0	0	18	2	37	6	10	8	4	10	1	11	0	6	2	0	0	2	8	2	2	1	4	0	1	1	1	0	0	5968	3915	1851	1259	4607	6042	6540	1503	746	1428	2371	193	736	538	3114	1665	148	1052	324	226	670	297	22	65	76	156	787	61	108	65	26	59	63	47	95	104	140	118	3305	1766	5965	2492	150	671	103	91	94	52	117	115	71	57	102	377	308	295	345
OTU_35	86	141	110	143	192	253	80	486	233	52	70	140	25	23	39	16	272	39	2771	2590	2978	834	402	1733	2784	1633	1007	146	107	2185	411	236	121	850	581	477	212	63	139	236	373	593	484	585	266	462	686	997	119	135	628	749	1767	1186	306	136	442	914	44	97	153	91	96	80	222	181	337	232	47	103	277	57	132	135	425	190	171	174	177	413	56	107	43	2067	360	1481	815	249	293	317	190	233	104	485	926	714	309	323	329	35	49	35	19	15	50	47	56	61	28	37	43	47	47	47	117	61	49	1372	1647	1423	712	881	650	1951	1829	68	174	97	315	286	233	533	323	208	206	201	280	441
OTU_34	1	4	3	0	0	0	1	0	0	1	0	1	2	1	0	0	0	2	0	1	0	1	1	1	1	2	0	21	64	27	18	30	88	300	49	31	6	4	2	25	1	124	2	70	291	2	4	6	5	2	0	78	1	2	63	31	15	93	22	10	26	212	47	21	0	5	3	4	1	11	2	0	4	17	1	3	3	0	0	3	1	7219	8525	927	1208	3463	3352	3397	2695	2890	2962	2568	4840	2266	186	1049	4466	223	3829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
