	RQYCK1	RQYCK2	RQYCK3	RQYCK4	RQYCK5	RQYCK6	RQYCK7	RQYCK8	RQYCK9	RQYNPK1	RQYNPK2	RQYNPK3	RQYNPK4	RQYNPK5	RQYNPK6	RQYNPK7	RQYNPK8	RQYNPK9	RQYNPKM1	RQYNPKM2	RQYNPKM3	RQYNPKM4	RQYNPKM5	RQYNPKM6	RQYNPKM7	RQYNPKM8	RQYNPKM9	RYCCK1	RYCCK2	RYCCK3	RYCCK4	RYCCK5	RYCCK6	RYCCK7	RYCCK8	RYCCK9	RYCNPK1	RYCNPK2	RYCNPK3	RYCNPK4	RYCNPK5	RYCNPK6	RYCNPK7	RYCNPK8	RYCNPK9	RYCNPKM1	RYCNPKM2	RYCNPKM3	RYCNPKM4	RYCNPKM5	RYCNPKM6	RYCNPKM7	RYCNPKM8	RYCNPKM9	RYYCK2	RYYCK3	RYYCK4	RYYCK5	RYYCK6	RYYCK7	RYYCK8	RYYCK9	RYYNPK1	RYYNPK2	RYYNPK3	RYYNPK4	RYYNPK5	RYYNPK6	RYYNPK7	RYYNPK8	RYYNPK9	RYYNPKM1	RYYNPKM2	RYYNPKM3	RYYNPKM4	RYYNPKM5	RYYNPKM6	RYYNPKM7	RYYNPKM8	RYYNPKM9	RCCSCK1	RCCSCK2	RCCSCK3	RCCSNPK1	RCCSNPK2	RCCSNPK3	RCCSNPKM1	RCCSNPKM2	RCCSNPKM3	RCCLCK1	RCCLCK2	RCCLCK3	RCCLNPK1	RCCLNPK2	RCCLNPK3	RCCLNPKM1	RCCLNPKM2	RCCLNPKM3	RJX20CK1	RJX20CK2	RJX20CK3	RJX20CK4	RJX20CK5	RJX20CK6	RJX20CK7	RJX20CK8	RJX20CK9	RJX20NPK1	RJX20NPK2	RJX20NPK3	RJX20NPK4	RJX20NPK5	RJX20NPK6	RJX20NPK7	RJX20NPK8	RJX20NPK9	RJX20NPKM1	RJX20NPKM2	RJX20NPKM3	RJX20NPKM4	RJX20NPKM5	RJX20NPKM8	RJX20NPKM9	RHL20SCK1	RHL20SCK2	RHL20SCK3	RHL20SNPK1	RHL20SNPK2	RHL20SNPK3	RHL20SNPKM1	RHL20SNPKM2	RHL20SNPKM3	RHL20LCK1	RHL20LCK2	RHL20LCK3	RHL20LNPK1	RHL20LNPK2	RHL20LNPK3	RHL20LNPKM1	RHL20LNPKM2	RHL20LNPKM3
OTU_19	18	76	50	23	109	102	77	386	299	19	20	18	11	10	14	11	6	9	68	27	44	29	35	30	43	39	79	28	3194	2095	2259	941	1393	853	2500	4728	8046	5330	5041	9317	7339	2580	1853	348	4308	3486	5040	246	5635	2003	3430	591	4246	2482	583	396	1742	938	1003	304	351	367	1113	131	401	291	504	285	258	467	268	4547	6762	3855	2623	4427	5374	3846	2231	714	1841	980	1068	696	846	164	138	829	404	1766	4236	7972	896	4333	2929	1127	680	57	17	12	12	5	21	31	46	12	7	5	12	10	7	5	9	6	15	13	50	149	92	36	56	41	49	97	142	106	129	148	303	2596	244	118	165	304	119	155	389	217	131	326	28
OTU_365	447	17	187	240	469	265	10	465	22	11	8	4	8	10	4	6	6	9	1608	52	340	30	235	46	86	12	489	13	16	15	120	75	56	43	74	103	114	174	103	120	25	51	87	82	74	52	51	42	48	48	182	179	260	162	3871	631	1456	961	6801	1691	1393	4888	1529	3087	4465	1124	2854	1053	553	2649	3400	1342	743	537	998	719	296	778	2616	2680	27	641	18	28	488	41	30	188	19	52	90	35	119	110	3193	233	649	9	17	18	22	88	26	41	30	26	22	3	1497	11	6	5	8	8	11	14	41	31	41	154	45	30	61	3995	3169	3415	97	395	333	199	349	614	153	31	37	37	17	14	16	119	41
OTU_63	30	43	89	31	98	39	155	41	57	67	65	30	63	45	87	73	32	29	60	57	101	70	40	69	37	64	95	57	440	776	451	514	362	537	664	532	357	1375	1712	509	457	649	817	150	895	1033	587	268	709	594	609	354	484	592	425	407	204	248	155	267	315	298	1328	1093	1149	730	705	1183	521	405	257	514	552	516	662	906	750	515	736	478	342	359	731	1234	681	456	370	532	392	387	506	552	1738	704	690	928	530	265	64	66	36	34	56	69	42	39	23	30	22	25	12	8	14	30	10	17	109	42	69	40	67	50	52	226	470	393	484	386	345	447	366	601	478	367	473	422	508	530	734	280	358
OTU_39	275	74	129	93	424	174	172	110	247	39	58	262	101	84	56	61	26	176	155	290	230	367	215	654	343	240	661	29	41	30	4	5	15	7	9	5	9	20	24	7	5	26	24	13	11	12	13	6	4	7	10	18	32	13	48	9	21	10	47	10	37	11	3	2	2	3	3	4	17	14	14	44	19	93	63	6	18	69	34	17	88	58	86	151	275	357	122	298	172	260	85	131	131	171	96	238	284	100	1306	1164	753	872	1085	1407	693	729	546	599	578	608	410	557	810	546	340	343	978	599	860	1583	782	516	629	1135	740	867	1227	1772	1241	882	1462	487	1111	1252	641	2614	1928	1381	1589	616	355
OTU_2	22	5	28	15	46	36	4	3	8	2	1	3	6	3	4	6	1	2	211	18	64	11	55	28	22	5	158	7	6	7	105	71	48	54	51	100	114	183	194	133	74	59	165	66	67	69	40	54	45	73	170	147	167	135	1431	1271	2178	5157	2020	1169	2453	1487	1061	680	695	833	1030	605	1628	1258	1088	863	905	403	643	542	606	860	1469	1501	2480	50	15	17	58	22	20	41	21	36	86	21	31	26	347	17	24	6	2	4	7	8	2	7	5	5	4	1	75	5	0	1	2	3	5	5	9	11	15	8	13	8	8	171	146	605	92	22	7	434	21	126	20	6	17	11	1	7	8	11	15
OTU_22	69	83	54	115	65	71	40	72	107	395	273	185	118	71	122	76	64	75	51	71	99	60	67	86	84	75	138	248	113	170	188	226	159	157	109	103	38	46	63	28	38	155	87	251	48	49	36	203	107	210	117	209	65	114	383	616	260	242	244	699	575	227	49	22	44	37	61	31	54	41	148	77	43	117	113	45	41	33	99	107	1334	434	1053	472	1008	838	958	663	760	693	253	320	285	741	576	531	734	1162	149	122	129	44	69	114	89	115	86	102	196	76	41	103	52	85	83	53	553	234	466	669	501	141	218	855	1513	486	1585	1461	1702	573	835	503	303	616	580	589	590	731	351	150	109
OTU_71	16	28	52	17	64	24	41	41	54	21	18	13	5	12	15	12	6	10	18	10	12	11	13	12	11	20	22	108	471	858	806	1101	707	750	598	542	532	661	1143	758	861	1735	976	483	939	576	313	463	227	563	340	174	201	248	321	298	194	234	152	276	264	230	713	935	1136	1105	823	1491	949	455	478	426	350	472	474	392	399	435	481	510	195	179	389	651	351	269	310	308	327	163	167	139	350	289	247	248	317	331	11	3	7	5	15	22	20	9	4	3	3	6	6	3	4	4	7	2	16	20	23	20	17	19	17	106	212	214	166	138	175	154	207	241	315	200	363	197	279	338	267	128	165
OTU_49	841	777	463	899	1157	798	857	517	838	70	47	56	35	20	48	36	27	31	44	62	31	81	51	39	62	47	49	50	41	42	17	15	20	52	49	29	23	12	9	7	16	12	23	32	19	12	10	18	16	13	18	24	14	21	10	23	12	9	6	16	11	9	26	12	19	20	19	17	22	18	24	11	14	22	26	20	20	7	26	22	55	39	23	36	38	89	84	60	71	94	34	52	32	44	22	58	49	84	2393	2721	2606	3081	2346	2859	2970	2711	1633	550	239	743	646	298	436	591	336	258	183	128	189	135	178	174	223	132	121	141	140	184	177	117	111	106	91	132	79	105	83	65	107	106	86
OTU_9	266	99	386	123	237	172	121	47	173	697	484	336	1023	911	801	314	1245	694	880	950	770	1217	1556	1599	523	511	467	80	65	60	7	5	4	1	5	6	7	9	6	0	1	4	4	6	4	4	2	1	0	3	8	9	9	9	3	5	23	2	3	1	1	7	8	1	1	3	2	18	2	59	5	1	5	1	5	4	4	7	5	5	38	79	47	59	124	270	131	127	140	160	139	104	179	108	146	184	134	142	1107	767	666	417	671	410	1451	570	1205	736	497	985	314	422	622	874	357	259	690	581	340	256	300	332	453	108	112	107	110	156	131	101	95	103	87	135	65	118	100	101	163	102	138
OTU_45	24	28	45	16	36	26	20	44	28	15	18	17	8	11	18	14	7	12	82	144	105	100	71	109	92	80	64	54	101	160	430	271	216	156	180	341	315	298	339	456	429	752	705	190	413	519	529	196	345	830	774	296	560	396	221	232	467	354	111	112	302	451	687	404	373	914	582	561	669	750	509	699	531	605	502	363	454	800	988	817	92	103	91	173	131	142	94	108	125	101	89	145	412	91	172	93	102	109	22	29	24	20	42	20	21	15	38	9	34	8	6	9	12	12	14	13	130	303	113	67	77	134	147	88	69	65	78	107	90	117	97	132	138	139	114	101	134	133	113	165	148
