	SEQYCK1	SEQYCK2	SEQYCK3	SEQYCK4	SEQYCK5	SEQYCK6	SEQYCK7	SEQYCK9	SEQYNPK1	SEQYNPK2	SEQYNPK3	SEQYNPK4	SEQYNPK5	SEQYNPK6	SEQYNPK7	SEQYNPK8	SEQYNPK9	SEQYNPKM1	SEQYNPKM2	SEQYNPKM3	SEQYNPKM4	SEQYNPKM5	SEQYNPKM6	SEQYNPKM7	SEQYNPKM8	SEQYNPKM9	SEYCCK1	SEYCCK2	SEYCCK3	SEYCCK4	SEYCCK5	SEYCCK6	SEYCCK7	SEYCCK8	SEYCCK9	SEYCNPK2	SEYCNPK3	SEYCNPK4	SEYCNPK5	SEYCNPK6	SEYCNPK7	SEYCNPK8	SEYCNPK9	SEYCNPKM1	SEYCNPKM2	SEYCNPKM3	SEYCNPKM4	SEYCNPKM5	SEYCNPKM6	SEYCNPKM7	SEYCNPKM8	SEYCNPKM9	SEYYCK1	SEYYCK2	SEYYCK3	SEYYCK4	SEYYCK5	SEYYCK6	SEYYCK7	SEYYCK8	SEYYCK9	SEYYNPK1	SEYYNPK2	SEYYNPK3	SEYYNPK4	SEYYNPK5	SEYYNPK6	SEYYNPK7	SEYYNPK8	SEYYNPK9	SEYYNPKM1	SEYYNPKM2	SEYYNPKM3	SEYYNPKM4	SEYYNPKM5	SEYYNPKM6	SEYYNPKM7	SEYYNPKM8	SEYYNPKM9	SECCCK1	SECCCK2	SECCCK3	SECCNPK1	SECCNPK2	SECCNPK3	SECCNPKM1	SECCNPKM2	SECCNPKM3	SEJX20CK1	SEJX20CK2	SEJX20CK3	SEJX20CK4	SEJX20CK5	SEJX20CK6	SEJX20CK7	SEJX20CK9	SEJX20NPK1	SEJX20NPK2	SEJX20NPK3	SEJX20NPK4	SEJX20NPK5	SEJX20NPK6	SEJX20NPK7	SEJX20NPK8	SEJX20NPK9	SEJX20NPKM1	SEJX20NPKM2	SEJX20NPKM3	SEJX20NPKM4	SEJX20NPKM5	SEJX20NPKM8	SEJX20NPKM9	SEHL20CK1	SEHL20CK2	SEHL20CK3	SEHL20NPK1	SEHL20NPK2	SEHL20NPK3	SEHL20NPKM1	SEHL20NPKM2
OTU_1	0	1279	1169	0	7370	5486	4180	6508	7152	5148	1133	1169	9277	7831	7404	8732	7725	7129	8845	8716	5535	7556	7816	7821	6250	7474	3492	1315	1	6	1075	378	755	670	0	0	0	2203	2430	296	996	2875	6862	5911	8786	915	10080	10702	6106	3078	6999	4956	10764	7532	7705	469	7780	9673	5389	6928	212	8444	8947	10581	11307	7230	10319	10186	9088	9872	3409	6331	3819	10450	8435	367	9519	0	1079	9866	8868	7617	6323	7463	10124	7218	97	0	9096	8490	7544	384	9535	8246	9264	6879	9415	1248	7807	5644	224	199	123	4894	5494	6399	4799	7715	395	363	0	1508	2738	2821	3532	3968	471	775	453	666
OTU_9	20956	18323	18161	20461	15	73	20	8	13	340	19046	18457	60	25	8	16	73	7	17	55	113	14	30	4	6	2	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	10	3	0	0	1	9	6	0	2	0	0	1	0	19052	0	59	0	0	19674	0	1	2	2	0	4	0	0	0	0	48	0	38	1	0	0	20298	0	0	0	0	0	14	17	0	0	0	566	820	0	19097	0	1691	0	312	0	0	544	0	19635	19515	20153	1046	2063	2067	0	2359	19127	18933	0	0	1772	1666	1375	1854	1169	18665	19764	19077
OTU_48	0	559	554	0	2824	1818	1598	2687	3032	1950	370	596	3107	2303	2374	3332	2647	2772	3270	3662	1771	2682	2897	3365	2452	2775	1389	548	0	0	430	139	259	178	0	0	0	852	805	66	402	984	2511	2183	2732	293	3826	3859	2608	1087	2208	1500	3719	2535	2534	550	2721	3249	1521	2587	228	2922	3217	3826	3597	2286	3945	3567	2929	3410	1243	2018	1318	3477	3136	0	3055	0	336	4577	4098	3476	2689	3444	4505	3098	0	0	5079	3915	4363	208	5792	3903	5914	4966	6251	696	3826	3637	143	126	75	2949	3134	4153	2478	4231	225	248	0	553	2211	1705	2659	2459	237	546	268	436
OTU_5	0	349	441	399	186	0	2620	516	98	3978	247	364	97	87	146	229	183	134	115	166	250	193	118	0	0	3	1883	8785	782	6532	10290	14731	3385	5102	5648	6818	5429	4195	1559	12609	2818	3011	203	5562	1765	1899	152	69	481	1214	2942	4046	14	987	24	697	40	87	147	467	1110	67	0	0	15	52	36	1	12	18	6561	340	565	0	118	16530	76	1130	1649	5	4	152	5428	157	0	0	6603	1	2	0	24	1602	0	0	0	20	0	4033	0	0	1385	1507	1197	5	41	63	916	47	1564	1749	1113	3094	55	62	43	86	470	797	800	817
OTU_9006	0	0	0	0	1794	1213	1015	1538	1809	1075	0	0	1678	1399	1496	1992	1931	1724	1848	2167	983	1482	1653	1975	1526	1626	832	377	7	25	314	130	238	164	0	0	0	508	560	82	254	638	1587	1327	1957	244	2656	2447	1205	590	1307	995	2122	1703	1547	92	1771	1874	907	1459	51	2015	2037	2200	2149	1488	2303	2225	1779	2075	893	1402	872	2196	1857	141	2062	0	276	2626	2187	1828	1556	1956	2484	1837	200	14	2837	2153	2256	57	3280	1992	3416	2746	3361	408	2109	1851	31	23	15	1599	1448	2145	1471	2156	68	63	0	406	1261	921	1504	1480	129	133	14	103
OTU_2	0	77	116	0	119	149	245	541	71	445	49	76	63	133	1422	88	343	201	65	72	103	162	85	0	20	6	2171	875	2531	5622	3318	1948	3581	2071	704	3594	2198	3290	2166	1113	3810	2431	577	2092	242	10652	37	0	3006	742	1192	1296	15	2273	321	42	2980	1354	9036	1797	24	820	87	0	27	733	89	23	97	96	2191	2899	1501	33	1122	1239	403	0	9421	22	89	1957	174	421	0	0	1897	3	0	1	0	25	0	0	0	195	0	4565	0	0	13	11	0	4	245	36	1196	0	38	44	294	4360	49	134	32	906	13021	80	12	71
OTU_321	0	78	67	0	361	296	523	551	656	615	51	81	1020	852	759	875	900	791	1009	938	560	835	782	1038	720	861	307	162	0	0	129	32	95	101	0	0	0	283	231	22	140	209	853	639	726	126	1160	1670	591	301	735	523	981	548	1056	11	937	973	658	1018	4	814	781	1279	908	765	1252	1071	880	1156	411	423	540	1502	1136	38	964	0	102	784	671	613	434	533	808	646	0	0	576	499	528	32	588	712	569	725	737	139	867	519	16	15	5	291	319	388	361	530	22	29	0	125	152	110	365	558	28	58	32	37
OTU_365	0	29	26	0	106	0	424	186	50	414	3	20	40	102	75	73	81	46	50	60	90	275	124	0	25	0	921	3511	400	2349	2854	1260	1681	4687	1067	1906	1714	2137	2108	738	5041	1219	330	917	398	1038	22	23	329	1611	230	2063	0	172	66	41	56	177	218	162	22	51	116	0	3	158	19	25	81	46	1619	461	311	25	209	177	0	41	1814	3	9	1924	180	205	0	6	405	2	1	0	475	35	39	4	8	147	0	724	2	0	29	32	16	2	98	79	2465	23	37	40	179	607	23	12	35	57	1521	46	31	37
OTU_408	0	111	80	0	260	384	255	515	891	452	92	102	814	459	522	879	464	622	910	839	418	657	646	563	632	658	306	108	0	33	90	34	89	60	0	0	0	139	224	12	87	269	688	471	786	88	961	840	548	227	783	274	815	574	652	52	733	720	357	639	25	680	933	1168	752	577	813	825	564	924	347	493	336	921	690	47	1015	0	74	831	503	525	385	488	871	702	0	0	852	554	561	56	678	853	933	609	562	123	502	417	25	18	6	1258	933	383	546	640	24	25	0	96	638	686	859	370	46	83	30	59
OTU_671	0	0	0	26	19	0	52	55	31	98	0	0	23	16	35	34	43	41	27	59	59	73	58	0	0	0	4648	2287	16502	545	254	1100	494	250	1233	903	4353	2182	1092	1601	673	326	126	429	75	266	69	48	92	95	16	14	0	58	0	22	0	1	3	153	9	5	1	0	0	0	1	0	0	0	13	6	7	0	1	9	0	5	15	0	0	12	14	1	0	0	7	0	0	0	0	0	0	0	0	3707	0	661	0	0	0	0	0	0	2	0	32	0	1	4	16	171	1	26	7	17	76	10	0	3
