	XEQYCK1	XEQYCK4	XEQYCK5	XEQYCK6	XEQYCK7	XEQYCK8	XEQYCK9	XEQYNPK1	XEQYNPK2	XEQYNPK4	XEQYNPK6	XEQYNPK7	XEQYNPK8	XEQYNPK9	XEQYNPKM1	XEQYNPKM2	XEQYNPKM3	XEQYNPKM4	XEQYNPKM5	XEQYNPKM6	XEQYNPKM7	XEQYNPKM8	XEQYNPKM9	XEYCCK1	XEYCCK2	XEYCCK3	XEYCCK4	XEYCCK5	XEYCCK6	XEYCCK7	XEYCCK8	XEYCCK9	XEYCNPK1	XEYCNPK2	XEYCNPK3	XEYCNPK4	XEYCNPK5	XEYCNPK6	XEYCNPK7	XEYCNPK8	XEYCNPK9	XEYCNPKM1	XEYCNPKM2	XEYCNPKM3	XEYCNPKM4	XEYCNPKM5	XEYCNPKM6	XEYCNPKM7	XEYCNPKM8	XEYCNPKM9	XEYYCK1	XEYYCK2	XEYYCK4	XEYYCK5	XEYYCK6	XEYYCK7	XEYYCK8	XEYYCK9	XEYYNPK1	XEYYNPK2	XEYYNPK3	XEYYNPK4	XEYYNPK5	XEYYNPK6	XEYYNPK8	XEYYNPK9	XEYYNPKM1	XEYYNPKM2	XEYYNPKM3	XEYYNPKM4	XEYYNPKM5	XEYYNPKM6	XEYYNPKM7	XEYYNPKM8	XEYYNPKM9	XECCCK1	XECCCK2	XECCCK3	XECCNPK1	XECCNPK2	XECCNPK3	XECCNPKM1	XECCNPKM2	XECCNPKM3	XEJX20CK1	XEJX20CK2	XEJX20CK3	XEJX20CK4	XEJX20CK5	XEJX20CK6	XEJX20CK7	XEJX20CK8	XEJX20CK9	XEJX20NPK1	XEJX20NPK2	XEJX20NPK3	XEJX20NPK4	XEJX20NPK5	XEJX20NPK6	XEJX20NPK7	XEJX20NPK8	XEJX20NPK9	XEJX20NPKM1	XEJX20NPKM2	XEJX20NPKM3	XEJX20NPKM4	XEJX20NPKM5	XEJX20NPKM6	XEJX20NPKM7	XEJX20NPKM8	XEJX20NPKM9	XEHL20CK1	XEHL20CK2	XEHL20CK3	XEHL20NPK2	XEHL20NPK3	XEHL20NPKM1	XEHL20NPKM2	XEHL20NPKM3
OTU_5	17531	17644	7484	7252	18385	13146	15973	5424	1466	6997	1955	3331	15016	1984	1291	2174	1724	4770	2041	1635	8690	1929	3066	16000	16206	14664	8606	16565	16357	2535	11915	18301	12623	3205	7308	9491	4203	2093	841	14937	305	1109	7934	7896	1953	2824	873	559	638	4287	17293	17128	14611	2454	698	807	1059	2444	1230	1702	2312	1203	1230	2132	6592	1679	9293	1776	3332	1262	1761	9699	2877	3554	1958	2207	2531	2252	6766	2004	1599	2714	4438	1765	16592	14978	4012	15599	5435	5842	5669	6434	4530	9669	5360	15547	15049	3274	5025	2860	2926	3075	15595	4300	9609	3534	18507	2456	17395	4141	12230	4483	1762	4638	5069	4946	4578	4853	4451
OTU_365	924	843	2942	839	1151	1869	2767	6173	919	1113	11006	14341	920	13456	873	16552	1153	9370	1152	1898	1238	1176	11589	1141	1315	1624	1612	1099	1193	7443	1293	701	1276	3231	3807	4516	1596	6982	11826	733	1269	804	3076	1109	904	1410	2541	1014	1308	1709	694	755	775	1522	776	619	987	1261	2684	3103	11347	4909	1262	12410	1060	13101	1166	1899	1691	8365	1768	1711	3275	3396	2961	2054	3085	2109	1630	1664	798	2724	1292	1569	3312	3610	3173	3436	6174	6827	7136	7060	5307	3711	4590	3563	4009	15839	14733	15433	10767	15157	3158	10032	8679	13606	1687	2379	2639	1694	1941	4146	1724	4095	4666	4965	4307	5392	6209
OTU_2	721	741	3800	3030	743	1466	893	646	1834	604	2719	2113	1344	2093	7982	1027	3381	3216	8332	2904	6581	3688	2307	1067	864	1726	6420	1635	1626	3965	1188	636	1935	4399	3070	3817	9502	4172	1444	3041	269	753	4890	5554	5426	2457	2537	2176	4258	970	767	813	880	1186	2501	9345	2630	6203	2186	4234	1769	3043	2796	4636	1534	2648	2443	7732	4257	3127	5442	2804	1716	2080	2369	2757	6648	11398	6613	3851	1032	7341	1456	4642	1051	1387	13178	1247	1868	1967	2104	2166	1802	6024	6375	1420	1530	1459	1125	2518	2139	1420	1479	1709	2141	3553	770	14083	835	6534	708	8401	12640	4495	4258	4331	5357	8643	5186
OTU_194	899	901	5288	171	142	2808	767	230	5109	168	145	138	258	136	9582	166	9268	343	3288	276	2391	11806	672	210	404	1245	1714	489	487	1190	154	156	351	1243	712	333	672	3636	397	1075	120	228	2778	843	10752	3162	594	5966	9217	547	296	278	334	938	3557	462	9290	5460	1819	6715	688	586	12199	330	2293	1778	5169	5594	461	5256	6751	2946	2283	3332	471	1407	3152	1559	632	872	657	563	701	1386	11	171	18	15	33	20	31	35	31	36	18	13	16	17	16	14	11	1107	84	8	659	8	9	17	9	12	37	46	25	60	58	57	40	55	40
OTU_8	161	151	325	136	174	414	163	138	414	131	160	150	149	181	715	182	410	359	450	156	447	819	267	518	865	522	624	388	241	432	209	275	826	2645	3489	643	831	1186	4396	613	19519	566	1332	5212	1759	1742	14331	7498	5691	9687	545	658	670	6207	1788	923	1419	2311	9661	3028	1648	2656	1726	808	831	925	1158	3137	766	1490	2028	1640	1386	1528	699	1458	2507	1576	1079	1304	961	1844	1200	1943	2	7	0	6	3	1	1	1	1	1	2	2	2	0	0	1	0	62	1	1	19	0	0	0	0	3	2	1	3	3	3	8	3	4	18
OTU_36	908	875	1384	8306	507	696	663	880	7354	6522	625	867	3031	915	239	507	234	1006	405	457	683	389	1051	955	837	695	971	609	909	1093	1099	505	1996	610	706	894	552	1120	248	443	39	125	437	336	125	296	163	61	137	312	938	909	725	288	88	84	119	270	186	390	652	538	161	899	501	934	876	242	1907	1233	253	1201	474	450	834	8146	936	658	698	496	1261	1748	421	487	209	963	323	820	398	502	514	482	381	370	214	398	238	144	280	518	493	437	505	249	214	664	516	762	179	176	989	414	297	339	506	387	815	240	216
OTU_7175	17	27	26	23	28	37	24	2463	59	29	1578	20	116	323	41	131	848	88	1520	9788	438	85	77	39	53	158	37	57	26	2471	1630	482	166	178	121	717	168	218	61	121	15	84	35	87	100	60	244	42	56	209	22	24	461	1983	82	2591	286	81	90	1151	90	80	60	23	5026	24	314	111	761	46	1720	91	1241	1115	34	153	469	96	206	260	319	72	235	105	20	24	24	26	70	51	36	86	60	37	38	23	33	21	11	25	43	23	20	18	13	15	19	16	16	27	4114	116	40	100	123	123	90	82	119
OTU_69	109	100	151	112	122	130	116	103	102	78	178	105	114	125	175	120	113	312	262	209	246	230	274	158	92	172	362	118	226	256	533	103	146	950	483	198	298	118	1966	31	33	47	111	87	338	96	122	39	256	99	31	49	73	77	65	105	63	126	110	114	88	518	126	70	71	105	79	91	68	67	127	190	89	118	70	209	430	657	634	412	92	1431	661	401	129	151	209	140	181	155	166	215	167	424	224	146	147	107	110	108	126	119	144	76	98	73	81	108	92	112	136	2232	4378	5299	3672	1115	4442	740	3813
OTU_22	21	24	2	29	0	122	7	6	39	5	2	4	6	16	4	13	15	78	7	8	3	45	9	3	6	2	3	0	2	11	6	2	234	3	3	82	26	2	39	567	27	12808	49	70	76	3543	54	3105	62	306	67	41	32	200	105	189	118	127	149	121	70	116	81	40	80	119	53	115	53	34	152	88	163	221	65	152	120	66	86	243	303	104	225	135	21	36	33	34	3625	3693	3361	2668	2268	218	3792	35	48	54	46	17	77	40	269	33	35	17	21	24	32	30	37	187	89	159	124	126	182	164	137
OTU_19	3	5	8	5	3	1	5	51	5	5	40	7	5	15	3	8	29	14	54	289	10	5	436	3	3	5	8	7	5	15	10	3	10	7	8	7	12	6	28	30	25	132	50	73	54	102	54	46	29	121	31	29	48	161	192	193	119	139	156	128	113	98	76	34	169	49	77	103	89	30	196	109	180	194	72	2387	533	174	2383	8787	13222	211	7520	706	74	84	90	78	208	163	185	245	216	139	165	104	114	99	68	79	182	78	73	59	42	55	36	76	65	428	199	342	150	319	866	560	337	278	324
