OTUs	CK	NPK	NPKM	size	Kingdom	Phylum	Class	Order	Family	Genus	enrich
OTU_1	4.58E-04	4.58E-04	5.34E-04	0.048324145	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	NotSig	NotSig
OTU_10	2.99E-04	2.33E-04	2.29E-04	0.025370283	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	NotSig	NotSig
OTU_10588	7.93E-05	2.47E-04	1.71E-04	0.016567297	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	NotSig	NotSig
OTU_10916	1.08E-05	9.01E-06	4.50E-04	0.01567026	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	NotSig	NotSig
OTU_11360	3.18E-03	3.17E-03	2.61E-03	0.298906661	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacterales_unclassified	NotSig	NotSig
OTU_11839	2.22E-04	4.11E-04	2.53E-04	0.0295164	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	NotSig	NotSig
OTU_11849	2.52E-05	2.34E-04	9.04E-05	0.011665781	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	NotSig	NotSig
OTU_11889	3.86E-04	1.35E-04	2.69E-04	0.02634887	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NotSig	NotSig
OTU_119	1.28E-04	5.05E-05	4.69E-05	0.00751108	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	NotSig	NotSig
OTU_1199	7.03E-05	6.85E-05	7.48E-04	0.029567904	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Chromobacteriaceae	Others	NPKM
OTU_12	9.66E-04	8.82E-04	9.26E-04	0.092446377	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	NotSig	NotSig
OTU_1216	3.61E-06	1.80E-06	5.69E-05	0.00207735	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Azospirillales	Azospirillaceae	NotSig	NotSig
