OTUID	BS	P	LE	RS	RE	SE	VE
OTU_1	1.98E-02	1.22E-01	6.10E-01	7.55E-02	4.30E-01	2.27E+01	4.78E-02
OTU_10	1.54E-03	4.99E+00	4.08E+00	3.03E-03	2.03E-03	6.67E-01	2.36E-02
OTU_100	3.68E-01	4.52E-04	3.72E-04	2.70E-01	2.26E-02	1.13E-01	5.25E-05
OTU_1000	3.91E-03	2.77E-05	1.15E-05	2.83E-03	2.25E-02	0.00E+00	1.04E-05
OTU_10000	1.74E-04	0.00E+00	0.00E+00	4.97E-05	8.62E-06	0.00E+00	0.00E+00
OTU_10001	5.12E-04	0.00E+00	0.00E+00	9.64E-05	3.63E-05	0.00E+00	0.00E+00
OTU_10002	9.67E-05	0.00E+00	0.00E+00	1.18E-04	6.00E-06	0.00E+00	0.00E+00
OTU_10003	3.72E-04	0.00E+00	0.00E+00	4.19E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10004	3.25E-03	3.25E-06	0.00E+00	2.82E-03	7.86E-05	4.32E-05	0.00E+00
OTU_10005	1.15E-04	0.00E+00	0.00E+00	7.41E-05	4.61E-06	0.00E+00	0.00E+00
OTU_10006	5.75E-05	0.00E+00	0.00E+00	7.81E-05	1.28E-05	0.00E+00	0.00E+00
OTU_10007	1.74E-03	0.00E+00	0.00E+00	1.31E-03	5.61E-05	4.09E-06	0.00E+00
OTU_10008	1.08E-03	9.20E-06	0.00E+00	4.40E-04	5.61E-05	4.37E-05	0.00E+00
OTU_10009	2.48E-04	0.00E+00	0.00E+00	2.84E-05	0.00E+00	0.00E+00	0.00E+00
OTU_1001	7.76E-03	2.29E-05	2.51E-06	7.89E-03	8.36E-04	3.59E-05	5.88E-06
OTU_10010	2.59E-04	0.00E+00	0.00E+00	8.99E-05	1.73E-05	0.00E+00	0.00E+00
OTU_10011	7.95E-05	0.00E+00	0.00E+00	2.16E-04	7.02E-05	0.00E+00	0.00E+00
OTU_10012	6.01E-04	0.00E+00	0.00E+00	1.04E-04	7.18E-06	0.00E+00	0.00E+00
OTU_10013	2.42E-05	1.31E-04	6.99E-06	7.60E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10014	1.62E-04	0.00E+00	0.00E+00	2.39E-04	1.32E-04	0.00E+00	0.00E+00
OTU_10015	1.98E-05	0.00E+00	0.00E+00	9.97E-05	5.28E-05	0.00E+00	0.00E+00
OTU_10016	6.81E-05	3.49E-06	0.00E+00	3.30E-04	1.25E-04	0.00E+00	0.00E+00
OTU_10017	1.87E-05	0.00E+00	0.00E+00	7.45E-05	1.10E-04	0.00E+00	0.00E+00
OTU_10018	6.16E-04	0.00E+00	0.00E+00	5.80E-04	3.35E-05	0.00E+00	0.00E+00
OTU_10019	1.33E-04	0.00E+00	0.00E+00	8.37E-06	0.00E+00	0.00E+00	0.00E+00
OTU_1002	3.44E-02	3.41E-05	5.40E-05	1.92E-02	8.46E-04	9.43E-04	0.00E+00
OTU_10020	2.15E-04	0.00E+00	0.00E+00	6.57E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10021	3.15E-04	2.70E-05	0.00E+00	3.63E-05	0.00E+00	0.00E+00	0.00E+00
OTU_10022	6.19E-04	5.85E-06	0.00E+00	1.53E-04	1.94E-06	0.00E+00	0.00E+00
OTU_10023	5.77E-04	3.77E-06	0.00E+00	4.60E-04	5.36E-05	0.00E+00	0.00E+00
OTU_10024	1.20E-04	1.16E-04	8.83E-06	2.41E-04	0.00E+00	2.09E-04	0.00E+00
OTU_10025	1.39E-04	0.00E+00	0.00E+00	2.21E-04	4.18E-05	0.00E+00	0.00E+00
OTU_10026	5.59E-05	0.00E+00	1.63E-06	4.54E-05	1.18E-05	0.00E+00	0.00E+00
OTU_10027	8.30E-05	0.00E+00	0.00E+00	4.99E-06	0.00E+00	0.00E+00	0.00E+00
OTU_10028	3.53E-05	0.00E+00	0.00E+00	1.53E-05	0.00E+00	0.00E+00	0.00E+00
