	BS	P	LE	RS	RE	SE	VE
OTU_1	1	1	1	1	1	1	1
OTU_10	1	1	1	1	1	1	1
OTU_100	1	1	1	1	1	1	1
OTU_1001	1	1	1	1	1	1	1
OTU_10041	1	1	1	1	1	1	1
OTU_1009	1	1	1	1	1	1	1
OTU_101	1	1	1	1	1	1	1
OTU_1010	1	1	1	1	1	1	1
OTU_1011	1	1	1	1	1	1	1
OTU_1012	1	1	1	1	1	1	1
OTU_1015	1	1	1	1	1	1	1
OTU_1017	1	1	1	1	1	1	1
OTU_1018	1	1	1	1	1	1	1
OTU_102	1	1	1	1	1	1	1
OTU_1020	1	1	1	1	1	1	1
OTU_1021	1	1	1	1	1	1	1
OTU_1023	1	1	1	1	1	1	1
OTU_10233	1	1	1	1	1	1	1
OTU_10234	1	1	1	1	1	1	1
OTU_1026	1	1	1	1	1	1	1
OTU_10292	1	1	1	1	1	1	1
OTU_103	1	1	1	1	1	1	1
OTU_10313	1	1	1	1	1	1	1
OTU_1033	1	1	1	1	1	1	1
OTU_1035	1	1	1	1	1	1	1
OTU_10377	1	1	1	1	1	1	1
OTU_104	1	1	1	1	1	1	1
OTU_1040	1	1	1	1	1	1	1
OTU_1042	1	1	1	1	1	1	1
OTU_1045	1	1	1	1	1	1	1
OTU_1046	1	1	1	1	1	1	1
OTU_105	1	1	1	1	1	1	1
OTU_10504	1	1	1	1	1	1	1
OTU_10506	1	1	1	1	1	1	1
OTU_1053	1	1	1	1	1	1	1
OTU_10540	1	1	1	1	1	1	1
OTU_1055	1	1	1	1	1	1	1
OTU_10567	1	1	1	1	1	1	1
OTU_10578	1	1	1	1	1	1	1
OTU_10588	1	1	1	1	1	1	1
OTU_10593	1	1	1	1	1	1	1
OTU_10597	1	1	1	1	1	1	1
OTU_1061	1	1	1	1	1	1	1
OTU_10610	1	1	1	1	1	1	1
OTU_10612	1	1	1	1	1	1	1
OTU_1062	1	1	1	1	1	1	1
OTU_10631	1	1	1	1	1	1	1
OTU_1066	1	1	1	1	1	1	1
OTU_10663	1	1	1	1	1	1	1
OTU_1067	1	1	1	1	1	1	1
OTU_10686	1	1	1	1	1	1	1
OTU_1069	1	1	1	1	1	1	1
OTU_107	1	1	1	1	1	1	1
OTU_1072	1	1	1	1	1	1	1
OTU_10723	1	1	1	1	1	1	1
OTU_1075	1	1	1	1	1	1	1
OTU_1077	1	1	1	1	1	1	1
OTU_1078	1	1	1	1	1	1	1
OTU_108	1	1	1	1	1	1	1
OTU_1080	1	1	1	1	1	1	1
