	SampleID	Phylum	RA	TreatmentID	Site	Sitetre	Treatment	Soiltype	ComTreament	Comparts	SiteCom	Maize.variety	Growing.day
1	BCCCK1	Abditibacteriota	0.07	CK1	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
2	BCCCK1	Acidobacteriota	5.34	CK1	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
3	BCCCK1	Actinobacteriota	40.67	CK1	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
4	BCCCK1	Bacteroidota	1.18	CK1	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
5	BCCCK1	Chloroflexi	11.24	CK1	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
6	BCCCK1	Deinococcota	0	CK1	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
7	BCCCK1	Firmicutes	1.74	CK1	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
8	BCCCK1	Gemmatimonadota	5.97	CK1	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
9	BCCCK1	Myxococcota	2.92	CK1	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
10	BCCCK1	Nitrospirota	2.23	CK1	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
11	BCCCK1	Alphaproteobacteria	10.58	CK1	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
12	BCCCK1	Gammaproteobacteria	13.17	CK1	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
13	BCCCK1	unclassified	0.43	CK1	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
14	BCCCK1	Others	4.47	CK1	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
15	BCCCK2	Abditibacteriota	0.09	CK2	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
16	BCCCK2	Acidobacteriota	4.85	CK2	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
17	BCCCK2	Actinobacteriota	39.41	CK2	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
18	BCCCK2	Bacteroidota	2.24	CK2	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
19	BCCCK2	Chloroflexi	7.54	CK2	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
20	BCCCK2	Deinococcota	0.01	CK2	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
21	BCCCK2	Firmicutes	1.4	CK2	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
22	BCCCK2	Gemmatimonadota	6.38	CK2	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
23	BCCCK2	Myxococcota	3.64	CK2	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
24	BCCCK2	Nitrospirota	1.5	CK2	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
25	BCCCK2	Alphaproteobacteria	11.67	CK2	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
26	BCCCK2	Gammaproteobacteria	16.77	CK2	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
27	BCCCK2	unclassified	0.31	CK2	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
28	BCCCK2	Others	4.18	CK2	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
29	BCCCK3	Abditibacteriota	0.07	CK3	CC	CCCK	CK	BSA	BCCCK	BS	CCB	LY66	115d
