SampleID	Site	Sitetre	Treatment	Soiltype	ComTreament	Comparts	TreCom	SiteCom	Maize.variety	Growing.day
BQYCK1	QY	QYCK	CK	RS	BQYCK	BS	CKB	QYB	YD13	116d
BQYCK2	QY	QYCK	CK	RS	BQYCK	BS	CKB	QYB	YD13	116d
BQYCK3	QY	QYCK	CK	RS	BQYCK	BS	CKB	QYB	YD13	116d
BQYCK4	QY	QYCK	CK	RS	BQYCK	BS	CKB	QYB	YD13	116d
BQYCK5	QY	QYCK	CK	RS	BQYCK	BS	CKB	QYB	YD13	116d
BQYCK6	QY	QYCK	CK	RS	BQYCK	BS	CKB	QYB	YD13	116d
BQYCK7	QY	QYCK	CK	RS	BQYCK	BS	CKB	QYB	YD13	116d
BQYCK8	QY	QYCK	CK	RS	BQYCK	BS	CKB	QYB	YD13	116d
BQYCK9	QY	QYCK	CK	RS	BQYCK	BS	CKB	QYB	YD13	116d
BQYNPK1	QY	QYNPK	NPK	RS	BQYNPK	BS	NPKB	QYB	YD13	116d
BQYNPK2	QY	QYNPK	NPK	RS	BQYNPK	BS	NPKB	QYB	YD13	116d
BQYNPK3	QY	QYNPK	NPK	RS	BQYNPK	BS	NPKB	QYB	YD13	116d
BQYNPK4	QY	QYNPK	NPK	RS	BQYNPK	BS	NPKB	QYB	YD13	116d
BQYNPK5	QY	QYNPK	NPK	RS	BQYNPK	BS	NPKB	QYB	YD13	116d
BQYNPK6	QY	QYNPK	NPK	RS	BQYNPK	BS	NPKB	QYB	YD13	116d
BQYNPK7	QY	QYNPK	NPK	RS	BQYNPK	BS	NPKB	QYB	YD13	116d
BQYNPK8	QY	QYNPK	NPK	RS	BQYNPK	BS	NPKB	QYB	YD13	116d
BQYNPK9	QY	QYNPK	NPK	RS	BQYNPK	BS	NPKB	QYB	YD13	116d
BQYNPKM1	QY	QYNPKM	NPKM	RS	BQYNPKM	BS	NPKMB	QYB	YD13	116d
BQYNPKM2	QY	QYNPKM	NPKM	RS	BQYNPKM	BS	NPKMB	QYB	YD13	116d
BQYNPKM3	QY	QYNPKM	NPKM	RS	BQYNPKM	BS	NPKMB	QYB	YD13	116d
BQYNPKM4	QY	QYNPKM	NPKM	RS	BQYNPKM	BS	NPKMB	QYB	YD13	116d
BQYNPKM5	QY	QYNPKM	NPKM	RS	BQYNPKM	BS	NPKMB	QYB	YD13	116d
BQYNPKM6	QY	QYNPKM	NPKM	RS	BQYNPKM	BS	NPKMB	QYB	YD13	116d
BQYNPKM7	QY	QYNPKM	NPKM	RS	BQYNPKM	BS	NPKMB	QYB	YD13	116d
BQYNPKM8	QY	QYNPKM	NPKM	RS	BQYNPKM	BS	NPKMB	QYB	YD13	116d
BQYNPKM9	QY	QYNPKM	NPKM	RS	BQYNPKM	BS	NPKMB	QYB	YD13	116d
BYCCK1	YC	YCCK	CK	FS	BYCCK	BS	CKB	YCB	ZD958	68d
BYCCK2	YC	YCCK	CK	FS	BYCCK	BS	CKB	YCB	ZD958	68d
BYCCK3	YC	YCCK	CK	FS	BYCCK	BS	CKB	YCB	ZD958	68d
BYCCK4	YC	YCCK	CK	FS	BYCCK	BS	CKB	YCB	ZD958	68d
BYCCK5	YC	YCCK	CK	FS	BYCCK	BS	CKB	YCB	ZD958	68d
BYCCK6	YC	YCCK	CK	FS	BYCCK	BS	CKB	YCB	ZD958	68d
BYCCK7	YC	YCCK	CK	FS	BYCCK	BS	CKB	YCB	ZD958	68d
BYCCK8	YC	YCCK	CK	FS	BYCCK	BS	CKB	YCB	ZD958	68d
BYCCK9	YC	YCCK	CK	FS	BYCCK	BS	CKB	YCB	ZD958	68d
BYCNPK1	YC	YCNPK	NPK	FS	BYCNPK	BS	NPKB	YCB	ZD958	68d
BYCNPK2	YC	YCNPK	NPK	FS	BYCNPK	BS	NPKB	YCB	ZD958	68d
BYCNPK3	YC	YCNPK	NPK	FS	BYCNPK	BS	NPKB	YCB	ZD958	68d
BYCNPK4	YC	YCNPK	NPK	FS	BYCNPK	BS	NPKB	YCB	ZD958	68d
BYCNPK5	YC	YCNPK	NPK	FS	BYCNPK	BS	NPKB	YCB	ZD958	68d
BYCNPK6	YC	YCNPK	NPK	FS	BYCNPK	BS	NPKB	YCB	ZD958	68d
BYCNPK7	YC	YCNPK	NPK	FS	BYCNPK	BS	NPKB	YCB	ZD958	68d
BYCNPK8	YC	YCNPK	NPK	FS	BYCNPK	BS	NPKB	YCB	ZD958	68d
BYCNPK9	YC	YCNPK	NPK	FS	BYCNPK	BS	NPKB	YCB	ZD958	68d
BYCNPKM1	YC	YCNPKM	NPKM	FS	BYCNPKM	BS	NPKMB	YCB	ZD958	68d
BYCNPKM2	YC	YCNPKM	NPKM	FS	BYCNPKM	BS	NPKMB	YCB	ZD958	68d
BYCNPKM3	YC	YCNPKM	NPKM	FS	BYCNPKM	BS	NPKMB	YCB	ZD958	68d
BYCNPKM4	YC	YCNPKM	NPKM	FS	BYCNPKM	BS	NPKMB	YCB	ZD958	68d
BYCNPKM5	YC	YCNPKM	NPKM	FS	BYCNPKM	BS	NPKMB	YCB	ZD958	68d
BYCNPKM6	YC	YCNPKM	NPKM	FS	BYCNPKM	BS	NPKMB	YCB	ZD958	68d
BYCNPKM7	YC	YCNPKM	NPKM	FS	BYCNPKM	BS	NPKMB	YCB	ZD958	68d
BYCNPKM8	YC	YCNPKM	NPKM	FS	BYCNPKM	BS	NPKMB	YCB	ZD958	68d
BYCNPKM9	YC	YCNPKM	NPKM	FS	BYCNPKM	BS	NPKMB	YCB	ZD958	68d
BYYCK1	YY	YYCK	CK	FS	BYYCK	BS	CKB	YYB	JD20	66d
