group	SampleID	nifH	LOG
BQYCK1	BQYCK1	1.57	0.409933123
BQYCK2	BQYCK2	0.76	0.245512668
BQYCK3	BQYCK3	1.1	0.322219295
BQYCK4	BQYCK4	1.23	0.348304863
BQYCK5	BQYCK5	1.34	0.369215857
BQYCK6	BQYCK6	1.4	0.380211242
BQYCK7	BQYCK7	1.24	0.350248018
BQYCK8	BQYCK8	0.63	0.212187604
BQYCK9	BQYCK9	0.75	0.243038049
BQYNPK1	BQYNPK1	0.58	0.198657087
BQYNPK2	BQYNPK2	0.57	0.195899652
BQYNPK3	BQYNPK3	0.73	0.238046103
BQYNPK4	BQYNPK4	0.57	0.195899652
BQYNPK5	BQYNPK5	0.48	0.170261715
BQYNPK6	BQYNPK6	0.94	0.28780173
BQYNPK7	BQYNPK7	0.76	0.245512668
BQYNPK8	BQYNPK8	0.66	0.220108088
BQYNPK9	BQYNPK9	7.93	0.950851459
BQYNPKM1	BQYNPKM1	0.65	0.217483944
BQYNPKM2	BQYNPKM2	1.25	0.352182518
BQYNPKM3	BQYNPKM3	1.35	0.371067862
BQYNPKM4	BQYNPKM4	0.37	0.136720567
BQYNPKM5	BQYNPKM5	0.39	0.1430148
BQYNPKM6	BQYNPKM6	0.38	0.139879086
BQYNPKM7	BQYNPKM7	0.46	0.164352856
BQYNPKM8	BQYNPKM8	0.27	0.103803721
BQYNPKM9	BQYNPKM9	0.51	0.178976947
BYCCK1	BYCCK1	0.72	0.235528447
BYCCK2	BYCCK2	0.86	0.269512944
BYCCK3	BYCCK3	1.6	0.414973348
BYCCK4	BYCCK4	1.19	0.340444115
BYCCK5	BYCCK5	3.45	0.648360011
BYCCK7	BYCCK7	0.92	0.283301229
BYCCK8	BYCCK8	1.83	0.451786436
BYCCK9	BYCCK9	1.4	0.380211242
BYCNPK1	BYCNPK1	1.31	0.36361198
BYCNPK2	BYCNPK2	1.04	0.309630167
BYCNPK3	BYCNPK3	1.38	0.376576957
BYCNPK4	BYCNPK4	0.53	0.184691431
BYCNPK5	BYCNPK5	2.29	0.517195898
BYCNPK6	BYCNPK6	0.92	0.283301229
BYCNPK7	BYCNPK7	1.22	0.346352974
BYCNPK8	BYCNPK8	1.12	0.326335861
BYCNPK9	BYCNPK9	1.39	0.378397901
BYCNPKM1	BYCNPKM1	1.29	0.359835482
BYCNPKM2	BYCNPKM2	1.27	0.356025857
BYCNPKM3	BYCNPKM3	0.86	0.269512944
