DATASET_HEATMAP
SEPARATOR TAB
BORDER_WIDTH	0.5
COLOR	#fb9a99
COLOR_MAX	#1f78b4
COLOR_MIN	#e5e5e5
COLOR_NAN	#FFFFFF
DATASET_LABEL	OTUID
FIELD_LABELS	CK	NPK	NPKM
LEGEND_COLORS	#e5e5e5	#1f78b4
LEGEND_LABELS	Min. (-0.3)	Max. (7.5)
LEGEND_SHAPES	1	1
LEGEND_TITLE	OTUID
MARGIN	5
STRIP_WIDTH	50
DATA
OTU_1	-0.248385948	-0.267682186	-0.306381087
OTU_10	-0.253066759	-0.270381121	-0.311446083
OTU_10588	-0.25632756	-0.269897048	-0.312371818
OTU_10916	-0.257403573	-0.273876188	-0.308582306
OTU_11360	-0.207720636	-0.213743827	-0.25300125
OTU_11839	-0.253917536	-0.269444181	-0.311300643
OTU_11849	-0.25711179	-0.272328829	-0.313872387
OTU_11889	-0.25214534	-0.272742118	-0.309382224
OTU_1199	-0.256692033	-0.273134856	-0.300579659
OTU_12	-0.237142583	-0.259663015	-0.299980586
OTU_12319	-0.250195002	-0.272693406	-0.312031305
OTU_13	-0.255134834	-0.270084284	-0.311858162
OTU_136	-0.247299697	-0.261694447	-0.162205316
OTU_13615	-0.24379216	-0.258681169	-0.284061863
OTU_13859	-0.248564089	-0.265125581	-0.298237618
OTU_139	-0.256555867	-0.269340668	-0.298965971
OTU_14	-0.253166068	-0.270786798	-0.311424152
OTU_1423	-0.249901171	-0.266192672	-0.298432692
OTU_15	-0.225946313	-0.266321302	-0.302283381
OTU_16	-0.2537783	-0.271267066	-0.312276013
OTU_1735	-0.242718195	-0.258013666	-0.306144459
OTU_18	-0.246576895	-0.264861472	-0.305121764
OTU_19	-0.174504488	0.067808516	-0.083656329
OTU_194	0.94013971	0.522796731	2.678205709
OTU_2	2.242610146	1.776716112	3.511831509
OTU_20	-0.25316402	-0.27101894	-0.311816608
OTU_200	-0.252895784	-0.200351903	-0.296056022
OTU_21	-0.235415433	-0.218968161	-0.20486186
OTU_22	0.091575859	-0.166175289	0.329535584
OTU_25	-0.243563853	-0.253339622	-0.237876675
OTU_28	-0.254261533	-0.271872157	-0.312592287
OTU_286	-0.255720447	-0.272016009	-0.288879842
OTU_3	-0.241547992	-0.260810025	-0.300735487
OTU_30	-0.155164917	-0.243698503	-0.19919202
OTU_31	-0.256017349	-0.272570866	-0.31236143
OTU_331	-0.255988682	-0.244652949	-0.305938997
OTU_3415	-0.218873906	-0.273162257	-0.309698498
OTU_3459	-0.190032453	-0.200265897	-0.186719987
OTU_36	0.473557464	0.533850491	0.142305041
OTU_365	1.581492704	6.553341525	2.803891015
OTU_3691	-0.253160949	-0.253413451	-0.306727373
OTU_37	-0.237184559	-0.269512682	-0.237659669
OTU_39	0.241287069	-0.239118077	-0.282857946
OTU_4	-0.229269566	-0.253525336	-0.29422302
OTU_4175	-0.222659917	-0.113258354	-0.295552755
OTU_44	-0.255453235	-0.270816482	-0.277836813
OTU_45	-0.256749365	-0.2713584	-0.31154766
OTU_48	-0.252470908	-0.270569879	-0.310610382
OTU_5	7.536603155	4.046619328	5.81890126
OTU_5226	-0.256990982	-0.272401136	-0.312323339
OTU_53	-0.202278118	-0.220141048	-0.197886525
OTU_55	-0.05908851	-0.118929467	-0.146359313
OTU_6	0.271950885	-0.127854371	0.00350015
OTU_614	-0.25703091	-0.272834214	-0.292639343
OTU_671	-0.166978538	0.108210339	-0.189995844
OTU_69	0.042945387	-0.009773304	-0.120821946
OTU_7	-0.252759619	-0.270607174	-0.311147124
OTU_70	-0.244673651	-0.271893468	-0.286826372
OTU_7175	0.016098295	-0.062245744	0.062943438
OTU_77	-0.159252948	-0.166962288	-0.287057229
OTU_7781	-0.228673714	-0.273335792	-0.314158649
OTU_7904	-0.257306312	-0.273749081	-0.310508805
OTU_8	0.299120474	1.450001896	1.65232477
OTU_81	0.012761733	-0.166298591	-0.282660563
OTU_8155	-0.254990478	-0.27194218	-0.311031695
OTU_843	-0.250493951	-0.26484016	-0.223712463
OTU_9006	-0.255179881	-0.272430058	-0.312976663
OTU_94	-0.252900903	-0.269405364	-0.279066124
OTU_9437	-0.248803658	-0.273809971	-0.314216363
OTU_9951	-0.255099001	-0.27146039	-0.312707715
