	otu	otu_occ	otu_rel
1	OTU_5	1.000000000	2.918897e-01
2	OTU_365	1.000000000	1.860533e-01
3	OTU_2	1.000000000	1.534903e-01
4	OTU_194	1.000000000	7.455991e-02
5	OTU_8	1.000000000	5.950116e-02
6	OTU_36	1.000000000	3.787505e-02
7	OTU_22	1.000000000	1.785230e-02
8	OTU_6	0.983333333	1.716395e-02
9	OTU_7175	1.000000000	1.908794e-02
10	OTU_69	1.000000000	1.867533e-02
11	OTU_19	1.000000000	1.797502e-02
12	OTU_671	1.000000000	1.149890e-02
13	OTU_55	1.000000000	1.074151e-02
14	OTU_81	1.000000000	7.923812e-03
15	OTU_3459	1.000000000	4.234928e-03
16	OTU_4175	0.991666667	3.468354e-03
17	OTU_77	1.000000000	4.703017e-03
18	OTU_30	1.000000000	4.479454e-03
19	OTU_53	1.000000000	8.384923e-03
20	OTU_21	0.991666667	4.563639e-03
21	OTU_11360	1.000000000	2.964061e-03
22	OTU_136	0.716666667	6.466125e-03
23	OTU_200	0.800000000	1.501279e-03
24	OTU_25	0.933333333	3.025990e-03
25	OTU_843	0.450000000	2.234584e-03
26	OTU_37	0.825000000	1.390934e-03
27	OTU_39	0.908333333	2.407790e-03
28	OTU_15	1.000000000	1.295438e-03
29	OTU_4	0.991666667	1.277817e-03
30	OTU_13615	1.000000000	1.264018e-03
31	OTU_12	1.000000000	9.114177e-04
32	OTU_331	0.675000000	1.019803e-03
33	OTU_3	1.000000000	8.953688e-04
34	OTU_94	0.983333333	9.648013e-04
35	OTU_3415	0.633333333	1.144766e-03
36	OTU_1735	1.000000000	9.719746e-04
37	OTU_70	0.883333333	7.197480e-04
38	OTU_44	0.783333333	1.407703e-03
39	OTU_3691	1.000000000	8.915112e-04
40	OTU_13859	0.991666667	6.423495e-04
41	OTU_1423	0.858333333	6.463093e-04
42	OTU_7781	0.408333333	5.205334e-04
43	OTU_286	0.700000000	1.183874e-03
44	OTU_18	0.908333333	6.186808e-04
45	OTU_1	1.000000000	4.779736e-04
46	OTU_614	0.300000000	4.658323e-04
47	OTU_139	0.808333333	4.248422e-04
48	OTU_1199	0.308333333	3.252075e-04
49	OTU_11839	0.966666667	2.895549e-04
50	OTU_48	0.991666667	2.484298e-04
51	OTU_7	0.916666667	2.172952e-04
52	OTU_10	0.900000000	2.361375e-04
53	OTU_14	0.966666667	2.099481e-04
54	OTU_11889	0.900000000	2.623904e-04
55	OTU_12319	0.891666667	2.851744e-04
56	OTU_20	0.625000000	1.867467e-04
57	OTU_13	0.933333333	1.985816e-04
58	OTU_16	0.800000000	1.691170e-04
59	OTU_9437	0.475000000	1.203355e-04
60	OTU_8155	0.783333333	1.634857e-04
61	OTU_10588	0.816666667	1.560938e-04
62	OTU_28	0.883333333	1.419649e-04
63	OTU_9951	0.958333333	1.540958e-04
64	OTU_9	0.900000000	8.986539e-05
65	OTU_6375	0.508333333	1.033690e-04
66	OTU_45	0.791666667	1.672391e-04
67	OTU_10916	0.441666667	1.642185e-04
68	OTU_9006	0.983333333	1.126618e-04
69	OTU_31	0.950000000	1.107193e-04
70	OTU_385	0.866666667	7.799924e-05
71	OTU_5226	0.958333333	1.649648e-04
72	OTU_12309	0.991666667	9.044341e-05
73	OTU_11363	0.741666667	9.854351e-05
74	OTU_4223	0.858333333	8.990528e-05
75	OTU_7904	0.283333333	1.009216e-04
76	OTU_119	0.766666667	7.624729e-05
77	OTU_2454	0.350000000	7.827774e-05
78	OTU_1979	0.300000000	8.034261e-05
79	OTU_11849	0.666666667	1.146296e-04
80	OTU_12398	0.833333333	6.446353e-05
81	OTU_26	0.691666667	5.748151e-05
82	OTU_167	0.283333333	6.771638e-05
83	OTU_141	0.691666667	7.643750e-05
84	OTU_954	0.658333333	7.086849e-05
85	OTU_754	0.316666667	3.758143e-05
86	OTU_2249	0.275000000	3.603893e-05
87	OTU_78	0.841666667	5.957617e-05
88	OTU_1481	0.216666667	5.719271e-05
89	OTU_13029	0.766666667	5.657094e-05
90	OTU_50	0.566666667	4.985310e-05
91	OTU_295	0.400000000	5.611012e-05
92	OTU_8173	0.366666667	3.657696e-05
93	OTU_936	0.408333333	5.461683e-05
94	OTU_7250	0.583333333	2.869178e-05
95	OTU_12279	0.825000000	4.477777e-05
96	OTU_17	0.708333333	4.257144e-05
97	OTU_321	0.883333333	4.244796e-05
98	OTU_143	0.625000000	6.459194e-05
99	OTU_176	0.608333333	5.196453e-05
100	OTU_4895	0.716666667	4.986237e-05
101	OTU_408	0.883333333	3.983736e-05
102	OTU_2402	0.266666667	3.222302e-05
103	OTU_24	0.866666667	3.950477e-05
104	OTU_32	0.783333333	3.701556e-05
105	OTU_5204	0.391666667	3.538669e-05
106	OTU_162	0.466666667	3.991913e-05
107	OTU_59	0.633333333	4.112524e-05
108	OTU_2935	0.750000000	2.967769e-05
109	OTU_5605	0.658333333	3.912007e-05
110	OTU_5608	0.750000000	2.062010e-05
111	OTU_2558	0.500000000	3.108916e-05
112	OTU_72	0.500000000	2.224405e-05
113	OTU_6626	0.658333333	2.497029e-05
114	OTU_11	0.841666667	2.829468e-05
115	OTU_1597	0.700000000	3.362772e-05
116	OTU_11824	0.633333333	2.768110e-05
117	OTU_1473	0.325000000	1.960793e-05
118	OTU_1159	0.675000000	2.336204e-05
119	OTU_61	0.850000000	2.235059e-05
120	OTU_99	0.591666667	1.962050e-05
121	OTU_4500	0.225000000	2.114270e-05
122	OTU_1888	0.316666667	1.821138e-05
123	OTU_379	0.425000000	3.352687e-05
124	OTU_27	0.758333333	2.149095e-05
125	OTU_304	0.391666667	1.504845e-05
126	OTU_1015	0.516666667	1.399309e-05
127	OTU_9422	0.441666667	1.364046e-05
128	OTU_4833	0.666666667	1.469479e-05
129	OTU_13647	0.266666667	1.415235e-05
130	OTU_90	0.700000000	1.875101e-05
131	OTU_4174	0.375000000	1.161783e-05
132	OTU_135	0.683333333	1.876488e-05
133	OTU_9435	0.633333333	1.414917e-05
134	OTU_42	0.616666667	1.164443e-05
135	OTU_87	0.441666667	1.025639e-05
136	OTU_461	0.175000000	8.724613e-06
137	OTU_5495	0.391666667	1.198735e-05
138	OTU_2095	0.550000000	1.032748e-05
139	OTU_98	0.608333333	1.245911e-05
140	OTU_550	0.300000000	1.465303e-05
141	OTU_1216	0.275000000	2.220798e-05
142	OTU_663	0.300000000	1.219283e-05
143	OTU_3674	0.333333333	8.597175e-06
144	OTU_92	0.666666667	1.001730e-05
145	OTU_79	0.425000000	1.177494e-05
146	OTU_137	0.275000000	1.250573e-05
147	OTU_46	0.558333333	8.222934e-06
148	OTU_9921	0.700000000	1.015291e-05
149	OTU_2792	0.641666667	9.598241e-06
150	OTU_5916	0.591666667	9.361585e-06
151	OTU_6997	0.625000000	9.209337e-06
152	OTU_6074	0.516666667	8.193165e-06
153	OTU_1575	0.150000000	1.093634e-05
154	OTU_76	0.208333333	6.409423e-06
155	OTU_185	0.383333333	7.989265e-06
156	OTU_13079	0.258333333	1.032909e-05
157	OTU_13784	0.241666667	1.099495e-05
158	OTU_247	0.275000000	6.072157e-06
159	OTU_29	0.458333333	7.363289e-06
160	OTU_11053	0.100000000	7.508668e-06
