	otu	otu_occ	otu_rel	fill
1	OTU_5	1	2.92E-01	Core
2	OTU_365	1	1.86E-01	Core
3	OTU_2	1	1.53E-01	Core
4	OTU_194	1	7.46E-02	Core
5	OTU_8	1	5.95E-02	Core
6	OTU_36	1	3.79E-02	Core
7	OTU_22	1	1.79E-02	Core
9	OTU_7175	1	1.91E-02	Core
10	OTU_69	1	1.87E-02	Core
11	OTU_19	1	1.80E-02	Core
12	OTU_671	1	1.15E-02	Core
13	OTU_55	1	1.07E-02	Core
14	OTU_81	1	7.92E-03	Core
15	OTU_3459	1	4.23E-03	Core
17	OTU_77	1	4.70E-03	Core
18	OTU_30	1	4.48E-03	Core
19	OTU_53	1	8.38E-03	Core
21	OTU_11360	1	2.96E-03	Core
28	OTU_15	1	1.30E-03	Core
30	OTU_13615	1	1.26E-03	Core
31	OTU_12	1	9.11E-04	Core
33	OTU_3	1	8.95E-04	Core
36	OTU_1735	1	9.72E-04	Core
39	OTU_3691	1	8.92E-04	Core
45	OTU_1	1	4.78E-04	Core
16	OTU_4175	0.991666667	3.47E-03	Compartments
20	OTU_21	0.991666667	4.56E-03	Compartments
29	OTU_4	0.991666667	1.28E-03	Compartments
40	OTU_48	0.991666667	2.48E-04	Compartments
50	OTU_12309	0.991666667	9.04E-05	Compartments
72	OTU_6	0.983333333	1.72E-02	Compartments
8	OTU_94	0.983333333	9.65E-04	Compartments
34	OTU_9006	0.983333333	1.13E-04	Compartments
68	OTU_11839	0.966666667	2.90E-04	Compartments
49	OTU_14	0.966666667	2.10E-04	Compartments
53	OTU_9951	0.958333333	1.54E-04	Compartments
63	OTU_5226	0.958333333	1.65E-04	Compartments
71	OTU_31	0.95	1.11E-04	Compartments
69	OTU_25	0.933333333	3.03E-03	Compartments
24	OTU_13	0.933333333	1.99E-04	Compartments
57	OTU_7	0.916666667	2.17E-04	Compartments
51	OTU_39	0.908333333	2.41E-03	Compartments
27	OTU_18	0.908333333	6.19E-04	Compartments
44	OTU_10	0.9	2.36E-04	Compartments
52	OTU_11889	0.9	2.62E-04	Compartments
54	OTU_9	0.9	8.99E-05	Compartments
64	OTU_12319	0.891666667	2.85E-04	Compartments
55	OTU_70	0.883333333	7.20E-04	Compartments
37	OTU_28	0.883333333	1.42E-04	Compartments
62	OTU_321	0.883333333	4.24E-05	Compartments
97	OTU_408	0.883333333	3.98E-05	Compartments
101	OTU_385	0.866666667	7.80E-05	Compartments
70	OTU_24	0.866666667	3.95E-05	Compartments
103	OTU_1423	0.858333333	6.46E-04	Compartments
41	OTU_4223	0.858333333	8.99E-05	Compartments
