#SampleID	Env	SourceSink	id
BCCCK1	Bulk Soil	Source	
BCCCK2	Bulk Soil	Source	
BCCCK3	Bulk Soil	Source	
BCCNPK1	Bulk Soil	Source	
BCCNPK2	Bulk Soil	Source	
BCCNPK3	Bulk Soil	Source	
BCCNPKM1	Bulk Soil	Source	
BCCNPKM2	Bulk Soil	Source	
BCCNPKM3	Bulk Soil	Source	
BHL20CK1	Bulk Soil	Source	
BHL20CK2	Bulk Soil	Source	
BHL20CK3	Bulk Soil	Source	
BHL20NPK1	Bulk Soil	Source	
BHL20NPK2	Bulk Soil	Source	
BHL20NPK3	Bulk Soil	Source	
BHL20NPKM1	Bulk Soil	Source	
BHL20NPKM2	Bulk Soil	Source	
BHL20NPKM3	Bulk Soil	Source	
BJX20CK1	Bulk Soil	Source	
BJX20CK2	Bulk Soil	Source	
BJX20CK3	Bulk Soil	Source	
BJX20CK4	Bulk Soil	Source	
BJX20CK5	Bulk Soil	Source	
BJX20CK6	Bulk Soil	Source	
BJX20CK7	Bulk Soil	Source	
BJX20CK8	Bulk Soil	Source	
BJX20CK9	Bulk Soil	Source	
BJX20NPK1	Bulk Soil	Source	
BJX20NPK2	Bulk Soil	Source	
BJX20NPK3	Bulk Soil	Source	
BJX20NPK4	Bulk Soil	Source	
BJX20NPK5	Bulk Soil	Source	
BJX20NPK6	Bulk Soil	Source	
BJX20NPK7	Bulk Soil	Source	
BJX20NPK8	Bulk Soil	Source	
BJX20NPK9	Bulk Soil	Source	
BJX20NPKM1	Bulk Soil	Source	
BJX20NPKM2	Bulk Soil	Source	
BJX20NPKM3	Bulk Soil	Source	
BJX20NPKM4	Bulk Soil	Source	
BJX20NPKM5	Bulk Soil	Source	
BJX20NPKM6	Bulk Soil	Source	
BJX20NPKM7	Bulk Soil	Source	
BJX20NPKM8	Bulk Soil	Source	
BJX20NPKM9	Bulk Soil	Source	
BQYCK1	Bulk Soil	Source	
BQYCK2	Bulk Soil	Source	
BQYCK3	Bulk Soil	Source	
BQYCK4	Bulk Soil	Source	
BQYCK5	Bulk Soil	Source	
BQYCK6	Bulk Soil	Source	
BQYCK7	Bulk Soil	Source	
BQYCK8	Bulk Soil	Source	
BQYCK9	Bulk Soil	Source	
BQYNPK1	Bulk Soil	Source	
BQYNPK2	Bulk Soil	Source	
BQYNPK3	Bulk Soil	Source	
BQYNPK4	Bulk Soil	Source	
BQYNPK5	Bulk Soil	Source	
BQYNPK6	Bulk Soil	Source	
BQYNPK7	Bulk Soil	Source	
BQYNPK8	Bulk Soil	Source	
BQYNPK9	Bulk Soil	Source	
BQYNPKM1	Bulk Soil	Source	
BQYNPKM2	Bulk Soil	Source	
BQYNPKM3	Bulk Soil	Source	
BQYNPKM4	Bulk Soil	Source	
BQYNPKM5	Bulk Soil	Source	
BQYNPKM6	Bulk Soil	Source	
BQYNPKM7	Bulk Soil	Source	
BQYNPKM8	Bulk Soil	Source	
BQYNPKM9	Bulk Soil	Source	
BYCCK1	Bulk Soil	Source	
BYCCK2	Bulk Soil	Source	
BYCCK3	Bulk Soil	Source	
BYCCK4	Bulk Soil	Source	
BYCCK5	Bulk Soil	Source	
BYCCK6	Bulk Soil	Source	
BYCCK7	Bulk Soil	Source	
BYCCK8	Bulk Soil	Source	
BYCCK9	Bulk Soil	Source	
BYCNPK1	Bulk Soil	Source	
BYCNPK2	Bulk Soil	Source	
BYCNPK3	Bulk Soil	Source	
BYCNPK4	Bulk Soil	Source	
BYCNPK5	Bulk Soil	Source	
BYCNPK6	Bulk Soil	Source	
BYCNPK7	Bulk Soil	Source	
BYCNPK8	Bulk Soil	Source	
BYCNPK9	Bulk Soil	Source	
BYCNPKM1	Bulk Soil	Source	
BYCNPKM2	Bulk Soil	Source	
BYCNPKM3	Bulk Soil	Source	
BYCNPKM4	Bulk Soil	Source	
BYCNPKM5	Bulk Soil	Source	
BYCNPKM6	Bulk Soil	Source	
BYCNPKM7	Bulk Soil	Source	
BYCNPKM8	Bulk Soil	Source	
BYCNPKM9	Bulk Soil	Source	
