SampleID	Site	Sitetre	Group	Soiltype	ComTreament	Comparts	SiteCom	Maize.variety	Growing.day
XEQYCK1	QY	QYCK	CK	RS	XEQYCK	XE	QYXE	YD13	116d
XEQYCK4	QY	QYCK	CK	RS	XEQYCK	XE	QYXE	YD13	116d
XEQYCK5	QY	QYCK	CK	RS	XEQYCK	XE	QYXE	YD13	116d
XEQYCK6	QY	QYCK	CK	RS	XEQYCK	XE	QYXE	YD13	116d
XEQYCK7	QY	QYCK	CK	RS	XEQYCK	XE	QYXE	YD13	116d
XEQYCK8	QY	QYCK	CK	RS	XEQYCK	XE	QYXE	YD13	116d
XEQYCK9	QY	QYCK	CK	RS	XEQYCK	XE	QYXE	YD13	116d
XEQYNPK1	QY	QYNPK	NPK	RS	XEQYNPK	XE	QYXE	YD13	116d
XEQYNPK2	QY	QYNPK	NPK	RS	XEQYNPK	XE	QYXE	YD13	116d
XEQYNPK4	QY	QYNPK	NPK	RS	XEQYNPK	XE	QYXE	YD13	116d
XEQYNPK6	QY	QYNPK	NPK	RS	XEQYNPK	XE	QYXE	YD13	116d
XEQYNPK7	QY	QYNPK	NPK	RS	XEQYNPK	XE	QYXE	YD13	116d
XEQYNPK8	QY	QYNPK	NPK	RS	XEQYNPK	XE	QYXE	YD13	116d
XEQYNPK9	QY	QYNPK	NPK	RS	XEQYNPK	XE	QYXE	YD13	116d
XEQYNPKM1	QY	QYNPKM	NPKM	RS	XEQYNPKM	XE	QYXE	YD13	116d
XEQYNPKM2	QY	QYNPKM	NPKM	RS	XEQYNPKM	XE	QYXE	YD13	116d
XEQYNPKM3	QY	QYNPKM	NPKM	RS	XEQYNPKM	XE	QYXE	YD13	116d
XEQYNPKM4	QY	QYNPKM	NPKM	RS	XEQYNPKM	XE	QYXE	YD13	116d
XEQYNPKM5	QY	QYNPKM	NPKM	RS	XEQYNPKM	XE	QYXE	YD13	116d
XEQYNPKM6	QY	QYNPKM	NPKM	RS	XEQYNPKM	XE	QYXE	YD13	116d
XEQYNPKM7	QY	QYNPKM	NPKM	RS	XEQYNPKM	XE	QYXE	YD13	116d
XEQYNPKM8	QY	QYNPKM	NPKM	RS	XEQYNPKM	XE	QYXE	YD13	116d
XEQYNPKM9	QY	QYNPKM	NPKM	RS	XEQYNPKM	XE	QYXE	YD13	116d
XEYCCK1	YC	YCCK	CK	FS	XEYCCK	XE	YCXE	ZD958	68d
XEYCCK2	YC	YCCK	CK	FS	XEYCCK	XE	YCXE	ZD958	68d
XEYCCK3	YC	YCCK	CK	FS	XEYCCK	XE	YCXE	ZD958	68d
XEYCCK4	YC	YCCK	CK	FS	XEYCCK	XE	YCXE	ZD958	68d
XEYCCK5	YC	YCCK	CK	FS	XEYCCK	XE	YCXE	ZD958	68d
XEYCCK6	YC	YCCK	CK	FS	XEYCCK	XE	YCXE	ZD958	68d
XEYCCK7	YC	YCCK	CK	FS	XEYCCK	XE	YCXE	ZD958	68d
XEYCCK8	YC	YCCK	CK	FS	XEYCCK	XE	YCXE	ZD958	68d
XEYCCK9	YC	YCCK	CK	FS	XEYCCK	XE	YCXE	ZD958	68d
XEYCNPK1	YC	YCNPK	NPK	FS	XEYCNPK	XE	YCXE	ZD958	68d
XEYCNPK2	YC	YCNPK	NPK	FS	XEYCNPK	XE	YCXE	ZD958	68d
XEYCNPK3	YC	YCNPK	NPK	FS	XEYCNPK	XE	YCXE	ZD958	68d
XEYCNPK4	YC	YCNPK	NPK	FS	XEYCNPK	XE	YCXE	ZD958	68d
XEYCNPK5	YC	YCNPK	NPK	FS	XEYCNPK	XE	YCXE	ZD958	68d
XEYCNPK6	YC	YCNPK	NPK	FS	XEYCNPK	XE	YCXE	ZD958	68d
XEYCNPK7	YC	YCNPK	NPK	FS	XEYCNPK	XE	YCXE	ZD958	68d
XEYCNPK8	YC	YCNPK	NPK	FS	XEYCNPK	XE	YCXE	ZD958	68d
XEYCNPK9	YC	YCNPK	NPK	FS	XEYCNPK	XE	YCXE	ZD958	68d
XEYCNPKM1	YC	YCNPKM	NPKM	FS	XEYCNPKM	XE	YCXE	ZD958	68d
XEYCNPKM2	YC	YCNPKM	NPKM	FS	XEYCNPKM	XE	YCXE	ZD958	68d
XEYCNPKM3	YC	YCNPKM	NPKM	FS	XEYCNPKM	XE	YCXE	ZD958	68d
XEYCNPKM4	YC	YCNPKM	NPKM	FS	XEYCNPKM	XE	YCXE	ZD958	68d
XEYCNPKM5	YC	YCNPKM	NPKM	FS	XEYCNPKM	XE	YCXE	ZD958	68d
XEYCNPKM6	YC	YCNPKM	NPKM	FS	XEYCNPKM	XE	YCXE	ZD958	68d
XEYCNPKM7	YC	YCNPKM	NPKM	FS	XEYCNPKM	XE	YCXE	ZD958	68d
XEYCNPKM8	YC	YCNPKM	NPKM	FS	XEYCNPKM	XE	YCXE	ZD958	68d
XEYCNPKM9	YC	YCNPKM	NPKM	FS	XEYCNPKM	XE	YCXE	ZD958	68d
XEYYCK1	YY	YYCK	CK	FS	XEYYCK	XE	YYXE	JD20	66d
XEYYCK2	YY	YYCK	CK	FS	XEYYCK	XE	YYXE	JD20	66d
XEYYCK4	YY	YYCK	CK	FS	XEYYCK	XE	YYXE	JD20	66d
XEYYCK5	YY	YYCK	CK	FS	XEYYCK	XE	YYXE	JD20	66d
XEYYCK6	YY	YYCK	CK	FS	XEYYCK	XE	YYXE	JD20	66d
XEYYCK7	YY	YYCK	CK	FS	XEYYCK	XE	YYXE	JD20	66d
XEYYCK8	YY	YYCK	CK	FS	XEYYCK	XE	YYXE	JD20	66d
XEYYCK9	YY	YYCK	CK	FS	XEYYCK	XE	YYXE	JD20	66d
XEYYNPK1	YY	YYNPK	NPK	FS	XEYYNPK	XE	YYXE	JD20	66d
XEYYNPK2	YY	YYNPK	NPK	FS	XEYYNPK	XE	YYXE	JD20	66d
XEYYNPK3	YY	YYNPK	NPK	FS	XEYYNPK	XE	YYXE	JD20	66d
XEYYNPK4	YY	YYNPK	NPK	FS	XEYYNPK	XE	YYXE	JD20	66d
XEYYNPK5	YY	YYNPK	NPK	FS	XEYYNPK	XE	YYXE	JD20	66d
XEYYNPK6	YY	YYNPK	NPK	FS	XEYYNPK	XE	YYXE	JD20	66d
XEYYNPK8	YY	YYNPK	NPK	FS	XEYYNPK	XE	YYXE	JD20	66d
XEYYNPK9	YY	YYNPK	NPK	FS	XEYYNPK	XE	YYXE	JD20	66d
XEYYNPKM1	YY	YYNPKM	NPKM	FS	XEYYNPKM	XE	YYXE	JD20	66d
XEYYNPKM2	YY	YYNPKM	NPKM	FS	XEYYNPKM	XE	YYXE	JD20	66d
XEYYNPKM3	YY	YYNPKM	NPKM	FS	XEYYNPKM	XE	YYXE	JD20	66d
XEYYNPKM4	YY	YYNPKM	NPKM	FS	XEYYNPKM	XE	YYXE	JD20	66d
XEYYNPKM5	YY	YYNPKM	NPKM	FS	XEYYNPKM	XE	YYXE	JD20	66d
XEYYNPKM6	YY	YYNPKM	NPKM	FS	XEYYNPKM	XE	YYXE	JD20	66d
XEYYNPKM7	YY	YYNPKM	NPKM	FS	XEYYNPKM	XE	YYXE	JD20	66d
XEYYNPKM8	YY	YYNPKM	NPKM	FS	XEYYNPKM	XE	YYXE	JD20	66d
