#OTU ID	XEQYCK1	XEQYCK4	XEQYCK5	XEQYCK6	XEQYCK7	XEQYCK8	XEQYCK9	XEQYNPK1	XEQYNPK2	XEQYNPK4	XEQYNPK6	XEQYNPK7	XEQYNPK8	XEQYNPK9	XEQYNPKM1	XEQYNPKM2	XEQYNPKM3	XEQYNPKM4	XEQYNPKM5	XEQYNPKM6	XEQYNPKM7	XEQYNPKM8	XEQYNPKM9	XEYCCK1	XEYCCK2	XEYCCK3	XEYCCK4	XEYCCK5	XEYCCK6	XEYCCK7	XEYCCK8	XEYCCK9	XEYCNPK1	XEYCNPK2	XEYCNPK3	XEYCNPK4	XEYCNPK5	XEYCNPK6	XEYCNPK7	XEYCNPK8	XEYCNPK9	XEYCNPKM1	XEYCNPKM2	XEYCNPKM3	XEYCNPKM4	XEYCNPKM5	XEYCNPKM6	XEYCNPKM7	XEYCNPKM8	XEYCNPKM9	XEYYCK1	XEYYCK2	XEYYCK4	XEYYCK5	XEYYCK6	XEYYCK7	XEYYCK8	XEYYCK9	XEYYNPK1	XEYYNPK2	XEYYNPK3	XEYYNPK4	XEYYNPK5	XEYYNPK6	XEYYNPK8	XEYYNPK9	XEYYNPKM1	XEYYNPKM2	XEYYNPKM3	XEYYNPKM4	XEYYNPKM5	XEYYNPKM6	XEYYNPKM7	XEYYNPKM8	XEYYNPKM9	XECCCK1	XECCCK2	XECCCK3	XECCNPK1	XECCNPK2	XECCNPK3	XECCNPKM1	XECCNPKM2	XECCNPKM3	XEJX20CK1	XEJX20CK2	XEJX20CK3	XEJX20CK4	XEJX20CK5	XEJX20CK6	XEJX20CK7	XEJX20CK8	XEJX20CK9	XEJX20NPK1	XEJX20NPK2	XEJX20NPK3	XEJX20NPK4	XEJX20NPK5	XEJX20NPK6	XEJX20NPK7	XEJX20NPK8	XEJX20NPK9	XEJX20NPKM1	XEJX20NPKM2	XEJX20NPKM3	XEJX20NPKM4	XEJX20NPKM5	XEJX20NPKM6	XEJX20NPKM7	XEJX20NPKM8	XEJX20NPKM9	XEHL20CK1	XEHL20CK2	XEHL20CK3	XEHL20NPK1	XEHL20NPK2	XEHL20NPK3	XEHL20NPKM1	XEHL20NPKM2	XEHL20NPKM3
OTU_5	11332	11383	4885	4638	11882	8478	10275	3493	945	4461	1282	2181	9641	1223	814	1409	1158	3071	1292	1016	5772	1263	1922	10402	10501	9492	5642	10683	10623	1695	7705	11778	8256	2092	4739	6042	2676	1358	600	9735	192	738	5107	5244	1275	1821	583	378	421	2820	11256	11109	9460	1579	426	513	699	1551	868	1095	1540	754	750	1524	4265	1050	6049	1091	2079	878	1149	6305	1848	2298	1318	1401	1589	1462	4325	1280	1038	1765	2948	1141	10882	9695	2500	10186	3459	3714	3693	4203	3013	6089	3428	10108	9747	2066	3375	1876	1849	2004	10179	2803	6197	2330	11880	1588	11197	2685	7766	2932	1161	2955	2965	3243	3179	2959	3129	2891
OTU_365	629	568	1828	471	742	1236	1823	4080	580	709	7067	9095	631	8768	535	10682	713	6002	757	1234	798	793	7456	730	883	1054	1030	693	749	4753	821	458	786	1974	2447	2966	1020	4453	7628	496	794	559	1970	790	548	885	1632	694	879	1071	432	443	467	989	527	426	643	839	1705	1976	7287	3161	869	7956	683	8428	734	1305	1048	5296	1115	1078	2208	2097	1827	1292	1926	1424	1113	1040	533	1754	786	1000	2064	2356	2135	2145	4047	4441	4610	4480	3463	2427	2985	2227	2574	10278	9398	10026	6880	9840	1965	6421	5577	8788	1126	1458	1659	1066	1257	2735	1107	2663	3422	3121	3202	2764	3438	3994
OTU_2	463	489	2446	1972	462	952	608	386	1066	352	1773	1492	910	1349	5199	641	2264	2081	5351	1831	4238	2399	1466	724	549	1208	4008	1028	1072	2483	789	422	1232	2853	1875	2531	6142	2797	847	1970	167	446	3198	3547	3525	1687	1683	1455	2628	621	487	522	567	750	1667	6063	1607	4039	1406	2758	1196	1981	1895	2898	984	1724	1538	5030	2721	2057	3578	1837	1102	1286	1509	1743	4275	7315	4186	2401	683	4643	967	3040	630	872	8527	835	1256	1368	1356	1473	1097	3980	4181	919	946	989	743	1566	1392	893	915	1146	1381	2278	492	9141	584	4106	485	5344	8066	2922	2167	2661	2828	3468	5579	3390
OTU_194	600	568	3453	98	98	1761	493	138	3362	111	98	96	160	92	6258	95	5939	225	2245	171	1497	7493	426	134	256	772	1090	305	281	795	131	113	237	805	451	199	435	2353	246	682	70	134	1799	497	6942	2120	362	3756	6006	347	181	182	217	634	2181	298	6144	3570	1256	4421	420	397	7910	236	1444	1223	3347	3643	328	3433	4294	1909	1396	2190	312	902	2068	1010	434	579	364	359	457	893	12	103	6	9	19	12	16	25	7	21	10	12	9	12	1	6	14	762	58	12	445	2	7	9	2	18	28	30	18	28	31	30	36	22	36	30
OTU_8	93	96	214	95	102	294	117	73	252	80	127	105	111	128	454	120	271	251	279	112	268	522	182	309	492	308	400	228	150	299	152	180	521	1718	2346	414	568	795	2994	415	12666	367	874	3325	1171	1141	9288	4802	3742	6342	354	404	423	4119	1154	594	935	1518	6146	1906	1033	1724	1053	518	511	581	784	2053	475	992	1324	1069	884	1059	468	885	1660	1003	774	852	616	1275	754	1243	1	0	0	1	1	0	2	1	1	0	1	1	1	0	0	0	1	28	4	1	11	0	0	0	1	0	2	1	0	0	29	1	6	3	2	8
OTU_36	572	587	951	5498	320	426	385	545	4798	4277	406	545	1940	602	149	375	134	714	216	321	433	253	713	582	590	411	659	435	547	695	673	322	1311	378	431	593	310	682	162	266	24	86	306	184	80	181	109	50	75	188	605	614	450	174	59	49	71	148	135	232	426	318	111	561	313	630	599	162	1230	794	160	732	276	292	549	5360	655	403	453	315	795	1106	252	323	96	622	176	491	285	306	321	341	254	237	171	246	161	94	202	331	310	248	323	160	132	418	374	510	134	96	627	294	204	236	134	319	233	545	168	138
OTU_22	10	11	0	20	0	68	3	2	30	2	0	1	2	8	7	3	9	52	3	4	4	42	5	2	3	3	2	0	1	11	3	2	128	1	0	41	24	2	26	333	13	8222	31	40	51	2265	37	2020	42	172	28	28	26	136	71	115	79	81	88	70	44	69	53	23	44	93	33	61	39	17	104	49	111	142	39	111	66	58	63	148	216	69	139	90	14	17	30	27	2333	2388	2178	1634	1490	122	2373	28	27	24	25	13	59	23	170	19	25	11	11	26	21	18	17	116	54	106	107	85	90	107	108	92
OTU_6	13	16	17	27	20	45	13	82	21	8	87	11	36	25	31	23	148	42	107	401	41	52	39	19	15	32	53	38	19	147	104	30	38	79	36	57	63	88	114	26	165	2043	46	100	116	73	74	712	87	2060	45	26	49	232	7635	1813	177	678	1897	328	785	2909	65	43	337	45	146	75	335	55	564	297	294	333	58	212	144	73	134	491	558	100	340	171	2	1	0	0	4	2	0	2	1	6	4	4	1	0	1	0	3	2	0	0	1	0	0	1	0	3	129	6	1	2	3	3	0	5	1	4
OTU_7175	12	13	19	17	28	25	22	1520	37	11	997	14	94	195	33	90	556	61	905	6295	259	61	55	23	33	109	25	44	34	1690	1080	354	100	129	76	482	104	143	55	73	12	60	28	49	55	42	141	19	27	127	17	14	284	1257	70	1619	201	57	58	755	55	55	30	16	3246	24	190	49	513	38	1102	63	833	754	26	105	328	59	134	164	207	34	120	70	16	18	17	10	37	41	26	47	38	28	16	16	24	13	17	16	30	17	20	11	10	4	10	5	18	13	2782	82	30	63	81	86	72	56	46	74
OTU_69	51	50	85	84	89	80	78	78	83	66	94	52	83	64	124	71	79	215	185	136	136	150	168	116	71	105	224	94	165	129	353	55	109	611	320	123	214	80	1168	18	20	42	62	47	228	64	71	34	169	50	22	31	57	43	28	59	44	83	64	65	66	330	86	44	47	69	48	75	46	46	88	135	67	79	47	162	286	439	395	243	60	906	438	264	85	98	131	92	110	113	110	142	108	285	128	98	126	67	56	59	84	70	84	44	73	43	50	64	55	70	81	1456	2870	3516	499	2452	735	2893	505	2401
