	BQYCK1	BQYCK2	BQYCK3	BQYCK4	BQYCK5	BQYCK6	BQYCK7	BQYCK8	BQYCK9	BQYNPK1	BQYNPK2	BQYNPK3	BQYNPK4	BQYNPK5	BQYNPK6	BQYNPK7	BQYNPK8	BQYNPK9	BQYNPKM1	BQYNPKM2	BQYNPKM3	BQYNPKM4	BQYNPKM5	BQYNPKM6	BQYNPKM7	BQYNPKM8	BQYNPKM9	BYCCK1	BYCCK2	BYCCK3	BYCCK4	BYCCK5	BYCCK6	BYCCK7	BYCCK8	BYCCK9	BYCNPK1	BYCNPK2	BYCNPK3	BYCNPK4	BYCNPK5	BYCNPK6	BYCNPK7	BYCNPK8	BYCNPK9	BYCNPKM1	BYCNPKM2	BYCNPKM3	BYCNPKM4	BYCNPKM5	BYCNPKM6	BYCNPKM7	BYCNPKM8	BYCNPKM9	BYYCK1	BYYCK2	BYYCK3	BYYCK4	BYYCK5	BYYCK6	BYYCK7	BYYCK8	BYYCK9	BYYNPK1	BYYNPK2	BYYNPK3	BYYNPK4	BYYNPK5	BYYNPK6	BYYNPK7	BYYNPK8	BYYNPK9	BYYNPKM1	BYYNPKM2	BYYNPKM3	BYYNPKM4	BYYNPKM5	BYYNPKM6	BYYNPKM7	BYYNPKM8	BYYNPKM9	BCCCK1	BCCCK2	BCCCK3	BCCNPK1	BCCNPK2	BCCNPK3	BCCNPKM1	BCCNPKM2	BCCNPKM3	BJX20CK1	BJX20CK2	BJX20CK3	BJX20CK4	BJX20CK5	BJX20CK6	BJX20CK7	BJX20CK8	BJX20CK9	BJX20NPK1	BJX20NPK2	BJX20NPK3	BJX20NPK4	BJX20NPK5	BJX20NPK6	BJX20NPK7	BJX20NPK8	BJX20NPK9	BJX20NPKM1	BJX20NPKM2	BJX20NPKM3	BJX20NPKM4	BJX20NPKM5	BJX20NPKM6	BJX20NPKM7	BJX20NPKM8	BJX20NPKM9	BHL20CK1	BHL20CK2	BHL20CK3	BHL20NPK1	BHL20NPK2	BHL20NPK3	BHL20NPKM1	BHL20NPKM2	BHL20NPKM3	RQYCK1	RQYCK2	RQYCK3	RQYCK4	RQYCK5	RQYCK6	RQYCK7	RQYCK8	RQYCK9	RQYNPK1	RQYNPK2	RQYNPK3	RQYNPK4	RQYNPK5	RQYNPK6	RQYNPK7	RQYNPK8	RQYNPK9	RQYNPKM1	RQYNPKM2	RQYNPKM3	RQYNPKM4	RQYNPKM5	RQYNPKM6	RQYNPKM7	RQYNPKM8	RQYNPKM9	RYCCK1	RYCCK2	RYCCK3	RYCCK4	RYCCK5	RYCCK6	RYCCK7	RYCCK8	RYCCK9	RYCNPK1	RYCNPK2	RYCNPK3	RYCNPK4	RYCNPK5	RYCNPK6	RYCNPK7	RYCNPK8	RYCNPK9	RYCNPKM1	RYCNPKM2	RYCNPKM3	RYCNPKM4	RYCNPKM5	RYCNPKM6	RYCNPKM7	RYCNPKM8	RYCNPKM9	RYYCK2	RYYCK3	RYYCK4	RYYCK5	RYYCK6	RYYCK7	RYYCK8	RYYCK9	RYYNPK1	RYYNPK2	RYYNPK3	RYYNPK4	RYYNPK5	RYYNPK6	RYYNPK7	RYYNPK8	RYYNPK9	RYYNPKM1	RYYNPKM2	RYYNPKM3	RYYNPKM4	RYYNPKM5	RYYNPKM6	RYYNPKM7	RYYNPKM8	RYYNPKM9	RCCSCK1	RCCSCK2	RCCSCK3	RCCSNPK1	RCCSNPK2	RCCSNPK3	RCCSNPKM1	RCCSNPKM2	RCCSNPKM3	RCCLCK1	RCCLCK2	RCCLCK3	RCCLNPK1	RCCLNPK2	RCCLNPK3	RCCLNPKM1	RCCLNPKM2	RCCLNPKM3	RJX20CK1	RJX20CK2	RJX20CK3	RJX20CK4	RJX20CK5	RJX20CK6	RJX20CK7	RJX20CK8	RJX20CK9	RJX20NPK1	RJX20NPK2	RJX20NPK3	RJX20NPK4	RJX20NPK5	RJX20NPK6	RJX20NPK7	RJX20NPK8	RJX20NPK9	RJX20NPKM1	RJX20NPKM2	RJX20NPKM3	RJX20NPKM4	RJX20NPKM5	RJX20NPKM8	RJX20NPKM9	RHL20SCK1	RHL20SCK2	RHL20SCK3	RHL20SNPK1	RHL20SNPK2	RHL20SNPK3	RHL20SNPKM1	RHL20SNPKM2	RHL20SNPKM3	RHL20LCK1	RHL20LCK2	RHL20LCK3	RHL20LNPK1	RHL20LNPK2	RHL20LNPK3	RHL20LNPKM1	RHL20LNPKM2	RHL20LNPKM3
OTU_1	1	3	3	8	0	4	4	3	5	5	14	4	2	4	1	1	6	4	2	1	3	1	4	1	6	2	1	4	1	3	7	2	2	3	4	8	1	2	1	3	4	2	3	2	4	0	5	3	4	2	1	2	1	1	8	4	7	6	3	1	5	8	7	9	2	2	2	3	1	0	1	1	1	4	1	2	4	3	0	3	3	15	12	15	4	9	9	7	3	7	6	3	5	5	6	7	4	2	11	19	3	28	6	9	4	10	9	7	9	4	4	8	6	9	3	5	5	4	2	3	3	7	7	6	3	5	8	7	17	15	15	13	10	12	11	10	17	15	16	30	13	6	16	17	10	15	14	19	21	16	10	13	19	15	10	10	2	1	0	0	0	1	0	3	1	1	3	0	0	2	1	0	0	1	1	0	3	2	5	3	1	3	3	1	3	0	1	1	1	0	1	2	0	1	1	0	0	1	3	1	1	1	1	2	1	1	2	3	1	7	18	171	9	6	12	11	6	9	9	8	4	109	7	12	57	51	75	52	114	36	50	52	34	76	91	114	62	86	91	92	57	61	14	14	14	19	12	13	27	18	13	17	21	26	21	16	16	11	20	8	15	27	4	3	14	21	10
OTU_10	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	1	0	0	1	0	1	4	4	2	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	1	1	0	0	0	0	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	3	0	2	2	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	6	0	0	1	1	0	0	0	0	0	0	4	1	3	0	4	0	3	1	2	0	0	3	1	1	0	0	0	1	1	0	0	1	2	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	2	1	0	0	3	3	1	4	2	1	2	0	6	3	0	0	0	3	0	1
OTU_100	133	148	125	195	88	190	53	86	80	106	16	84	26	16	14	12	26	28	389	369	349	439	582	386	389	447	475	23	16	18	14	39	40	38	30	33	32	40	14	19	18	20	11	14	47	40	51	33	23	22	21	25	31	28	12	16	14	27	16	17	36	25	27	49	8	13	17	10	16	11	14	9	23	18	38	26	22	16	11	19	10	15	30	39	83	64	109	115	126	80	39	26	23	22	14	26	20	18	30	165	188	90	87	87	73	73	79	75	216	243	192	255	285	244	317	222	218	32	22	22	60	57	47	92	105	69	96	150	136	113	108	175	49	75	123	78	30	114	25	16	18	21	17	17	201	300	281	328	327	349	251	358	337	15	8	15	1	0	0	0	1	0	3	1	3	0	0	0	2	2	0	1	2	2	1	2	1	12	7	1	0	0	0	0	0	1	1	0	1	0	1	4	2	1	1	0	0	3	3	6	3	3	1	2	2	1	16	24	23	87	167	174	109	250	202	23	20	25	82	82	98	108	91	118	33	21	15	15	26	32	24	14	5	94	140	85	64	74	33	66	36	43	146	157	178	168	213	176	225	23	17	14	36	22	31	44	61	70	15	20	12	40	29	32	69	99	71
OTU_1000	4	1	5	2	6	7	5	2	5	1	1	0	1	0	1	1	0	0	1	2	2	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	3	1	6	1	0	2	1	3	0	0	0	1	2	0	0	0	8	0	0	1	0	0	0	0	0	1	2	4	1	1	1	0	0	1	0	0	0	0	0	1	0	0	5	3	7	3	1	4	9	1	5	0	0	0	2	0	1	0	0	0	2	1	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	5	3	1	2	1	1	0	0	0	1	1	0	5	0	8	2	0	2	1	0	0	1	1	2	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1001	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	1	1	12	9	13	4	5	7	7	14	5	0	1	0	0	0	1	2	0	0	0	0	0	2	2	0	0	1	0	2	3	5	4	5	10	1	3	2	9	10	7	9	12	9	7	11	5	0	0	0	2	1	2	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	2	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	15	17	12	3	2	7	5	3	1	7	8	5	1	4	2	4	1	6	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	0	4	3	6	2	2	8	6	10	4	4	4	5	5	2	8	12	7	2	6	2	9	2	5
OTU_1002	2	1	2	1	1	0	2	0	2	0	0	0	0	0	3	0	0	2	21	21	15	48	11	53	39	28	19	5	3	1	1	2	1	3	3	3	5	20	6	3	3	6	3	8	9	7	7	7	14	14	11	12	22	17	11	16	12	1	3	11	6	7	2	16	22	18	11	24	9	9	21	62	8	10	29	13	14	14	16	20	19	2	3	5	2	22	1	12	8	58	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	2	14	7	3	2	7	6	7	10	2	1	1	1	0	1	3	1	4	2	3	1	1	0	0	1	1	0	1	0	0	0	2	0	0	1	0	27	17	17	22	11	17	37	18	15	0	3	0	1	0	0	2	5	0	1	8	1	2	1	1	1	7	0	2	5	11	5	8	0	10	7	8	5	5	1	3	1	3	4	1	7	8	0	3	5	3	1	7	8	3	2	6	3	2	2	1	5	8	0	0	0	55	1	0	6	7	19	1	1	3	5	4	2	0	1	8	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	2	13	3	30	6	31	5	0	1	1	0	0	1	1	3	0	3	0	0	1	0	13	0	6	1
OTU_1003	0	0	0	0	0	0	0	0	0	1	1	0	8	4	1	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	17	10	35	8	6	10	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	1	1	4	1	3	1	1	9	9	11	21	18	11	0	0	0	0	1	1	0	0	0	1	2	0	0	1	2	0	0	2	0	3	1	3	0	0	3	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	20	25	20	14	17	1	1	3	32	32	14	69	16	41	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	4	5	1	1	0	1	0	0	1	10	7	7	19	17	13	1	1	0	40	15	17	17	42	17
OTU_1004	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	0	2	0	0	2	2	2	4	0	2	1	6	7	8	7	5	6	3	6	16	11	12	10	10	11	10	12	8	16	11	10	16	26	22	10	8	11	8	11	5	4	4	8	5	4	8	5	27	21	17	13	13	10	11	13	11	14	19	10	14	21	17	8	7	0	0	2	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	0	4	2	2	6	4	2	8	5	4	5	6	3	6	6	3	5	6	2	9	8	12	6	10	7	8	10	9	4	2	0	3	8	2	7	4	8	7	8	10	15	5	5	6	21	15	4	5	8	5	7	10	10	14	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1005	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	7	6	9	10	5	9	6	2	2	9	13	20	13	6	5	1	9	7	27	19	24	9	11	10	15	12	10	7	13	14	15	15	23	17	5	8	12	12	5	9	13	12	15	8	10	29	20	17	17	13	27	10	11	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	5	8	4	3	2	6	7	4	1	3	1	4	5	5	6	4	13	3	7	4	6	6	6	4	1	2	0	3	0	1	0	3	3	2	2	0	3	1	1	8	3	0	3	4	9	7	3	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10057	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	12	11	7	27	3	36	12	14	12	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	4	2	1	3	0	0	1	0	3	3	0	0	0	0	1	0	1	0	1	0	0	1	2	8	40	2	9	3	19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	3	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	21	12	13	16	2	9	11	14	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	23	1	1	7	2	3	0	0	3	18	4	0	1	2	1	0	0	1	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	5	4	2	0	7	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	2	2
