	Kingdom	Phylum	Class	Order	Family	Genus
OTU_1	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia
OTU_10	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
OTU_100	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	SC-I-84	SC-I-84_ge
OTU_1000	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Kibdelosporangium
OTU_10000	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade
OTU_10001	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Sulfurifustis
OTU_10002	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium
OTU_10003	Bacteria	Elusimicrobiota	Lineage_IIc	Lineage_IIc_or	Lineage_IIc_fa	Lineage_IIc_ge
OTU_10004	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae_ge
OTU_10005	Bacteria	Myxococcota	Myxococcota_unclassified	Myxococcota_unclassified	Myxococcota_unclassified	Myxococcota_unclassified
OTU_10006	Bacteria	unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
OTU_10007	Bacteria	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter
OTU_10008	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	Kapabacteriales_fa	Kapabacteriales_ge
OTU_10009	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
OTU_1001	Bacteria	Actinobacteriota	Thermoleophilia	uncultured	uncultured_fa	uncultured_ge
OTU_10010	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_fa	0319-6G20_ge
OTU_10011	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
OTU_10012	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriales_unclassified	Sphingobacteriales_unclassified
